[snappy-benchmark] cd SOURCE_DIR && ./build/snappy_benchmark
2026-08-18T17:21:34+08:00
Running ./build/snappy_benchmark
Run on (256 X 2900 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x128)
  L1 Instruction 64 KiB (x128)
  L2 Unified 1280 KiB (x128)
  L3 Unified 57344 KiB (x4)
Load Average: 0.70, 0.27, 0.15
----------------------------------------------------------------------------------------
Benchmark                              Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------
BM_UFlat/0/1                       41848 ns        41822 ns        16729 bytes_per_second=2.28032G/s html
BM_UFlat/0/2                       38510 ns        38488 ns        18175 bytes_per_second=2.47782G/s html
BM_UFlat/1/1                      478399 ns       478045 ns         1464 bytes_per_second=1.3678G/s urls
BM_UFlat/1/2                      444516 ns       444181 ns         1576 bytes_per_second=1.47208G/s urls
BM_UFlat/2/1                        2834 ns         2833 ns       247141 bytes_per_second=40.4694G/s jpg
BM_UFlat/2/2                        2823 ns         2821 ns       248065 bytes_per_second=40.6369G/s jpg
BM_UFlat/3/1                         116 ns          116 ns      6020447 bytes_per_second=1.60498G/s jpg_200
BM_UFlat/3/2                         111 ns          110 ns      6325747 bytes_per_second=1.68583G/s jpg_200
BM_UFlat/4/1                        6016 ns         6013 ns       116134 bytes_per_second=15.8591G/s pdf
BM_UFlat/4/2                       13291 ns        13283 ns        52616 bytes_per_second=7.17946G/s pdf
BM_UFlat/5/1                      172887 ns       172796 ns         4050 bytes_per_second=2.20763G/s html4
BM_UFlat/5/2                      158522 ns       158441 ns         4417 bytes_per_second=2.40764G/s html4
BM_UFlat/6/1                      161249 ns       161172 ns         4338 bytes_per_second=899.926M/s txt1
BM_UFlat/6/2                      144395 ns       144325 ns         4849 bytes_per_second=1004.98M/s txt1
BM_UFlat/7/1                      145268 ns       145185 ns         4822 bytes_per_second=822.26M/s txt2
BM_UFlat/7/2                      133853 ns       133783 ns         5232 bytes_per_second=892.339M/s txt2
BM_UFlat/8/1                      425127 ns       424890 ns         1647 bytes_per_second=957.858M/s txt3
BM_UFlat/8/2                      375444 ns       375249 ns         1865 bytes_per_second=1084.57M/s txt3
BM_UFlat/9/1                      605160 ns       604811 ns         1156 bytes_per_second=759.805M/s txt4
BM_UFlat/9/2                      559955 ns       559656 ns         1249 bytes_per_second=821.109M/s txt4
BM_UFlat/10/1                      39087 ns        39067 ns        17931 bytes_per_second=2.82705G/s pb
