[snappy-benchmark] cd SOURCE_DIR && ./build/snappy_benchmark
2026-08-18T09:20:59+00:00
Running ./build/snappy_benchmark
Run on (16 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1024 KiB (x8)
  L3 Unified 32768 KiB (x1)
Load Average: 0.57, 0.18, 0.07
----------------------------------------------------------------------------------------
Benchmark                              Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------
BM_UFlat/0/1                       41578 ns        41439 ns        16564 bytes_per_second=2.3014G/s html
BM_UFlat/0/2                       37969 ns        37851 ns        19207 bytes_per_second=2.51957G/s html
BM_UFlat/1/1                      526558 ns       524701 ns         1328 bytes_per_second=1.24617G/s urls
BM_UFlat/1/2                      487851 ns       486136 ns         1439 bytes_per_second=1.34503G/s urls
BM_UFlat/2/1                        2790 ns         2782 ns       251696 bytes_per_second=41.2137G/s jpg
BM_UFlat/2/2                        2789 ns         2781 ns       251812 bytes_per_second=41.228G/s jpg
BM_UFlat/3/1                        99.8 ns         99.5 ns      7039094 bytes_per_second=1.87228G/s jpg_200
BM_UFlat/3/2                        94.4 ns         94.2 ns      7429671 bytes_per_second=1.9783G/s jpg_200
BM_UFlat/4/1                        5654 ns         5637 ns       124225 bytes_per_second=16.9172G/s pdf
BM_UFlat/4/2                       11094 ns        11060 ns        63278 bytes_per_second=8.62273G/s pdf
BM_UFlat/5/1                      180454 ns       179878 ns         3882 bytes_per_second=2.12071G/s html4
BM_UFlat/5/2                      156796 ns       156298 ns         4496 bytes_per_second=2.44066G/s html4
BM_UFlat/6/1                      177462 ns       176932 ns         3941 bytes_per_second=819.768M/s txt1
BM_UFlat/6/2                      158655 ns       158187 ns         4410 bytes_per_second=916.91M/s txt1
BM_UFlat/7/1                      161812 ns       161341 ns         4340 bytes_per_second=739.926M/s txt2
BM_UFlat/7/2                      147741 ns       147313 ns         4746 bytes_per_second=810.383M/s txt2
BM_UFlat/8/1                      472974 ns       471396 ns         1485 bytes_per_second=863.36M/s txt3
BM_UFlat/8/2                      413767 ns       412400 ns         1697 bytes_per_second=986.867M/s txt3
BM_UFlat/9/1                      674663 ns       672342 ns         1041 bytes_per_second=683.489M/s txt4
BM_UFlat/9/2                      619991 ns       617800 ns         1131 bytes_per_second=743.831M/s txt4
BM_UFlat/10/1                      35172 ns        35068 ns        19825 bytes_per_second=3.14943G/s pb
BM_UFlat/10/2                      31301 ns        31208 ns        21973 bytes_per_second=3.53892G/s pb
BM_UFlat/11/1                     157088 ns       156622 ns         4474 bytes_per_second=1122.33M/s gaviota
BM_UFlat/11/2                     117389 ns       117048 ns         5915 bytes_per_second=1.46659G/s gaviota
BM_UFlatMedley                   2461566 ns      2452525 ns          285 bytes_per_second=1.1121G/s
BM_UValidate/0/1                   15275 ns        15230 ns        45959 bytes_per_second=6.26184G/s html
BM_UValidate/0/2                   13855 ns        13815 ns        50670 bytes_per_second=6.90336G/s html
BM_UValidate/1/1                  188871 ns       188313 ns         3679 bytes_per_second=3.47226G/s urls
BM_UValidate/1/2                  170446 ns       169936 ns         4078 bytes_per_second=3.84774G/s urls
BM_UValidate/2/1                    91.5 ns         91.2 ns      7674521 bytes_per_second=1.22729T/s jpg
BM_UValidate/2/2                    90.2 ns         90.0 ns      7775066 bytes_per_second=1.24414T/s jpg
BM_UValidate/3/1                    56.8 ns         56.6 ns     12339622 bytes_per_second=3.28819G/s jpg_200
BM_UValidate/3/2                    54.5 ns         54.4 ns     12864490 bytes_per_second=3.42592G/s jpg_200
BM_UValidate/4/1                    1531 ns         1526 ns       458737 bytes_per_second=62.4867G/s pdf
BM_UValidate/4/2                    4547 ns         4534 ns       154411 bytes_per_second=21.0338G/s pdf
BM_UValidate/5/1                   61821 ns        61638 ns        11338 bytes_per_second=6.18884G/s html4
BM_UValidate/5/2                   55612 ns        55450 ns        12593 bytes_per_second=6.87951G/s html4
BM_UValidate/6/1                   67615 ns        67419 ns        10369 bytes_per_second=2.10094G/s txt1
BM_UValidate/6/2                   60744 ns        60566 ns        11534 bytes_per_second=2.33867G/s txt1
BM_UValidate/7/1                   59365 ns        59188 ns        11814 bytes_per_second=1.96968G/s txt2
BM_UValidate/7/2                   54779 ns        54621 ns        12789 bytes_per_second=2.13439G/s txt2
BM_UValidate/8/1                  182311 ns       181778 ns         3838 bytes_per_second=2.18644G/s txt3
BM_UValidate/8/2                  161252 ns       160782 ns         4334 bytes_per_second=2.47196G/s txt3
BM_UValidate/9/1                  340376 ns       339370 ns         2041 bytes_per_second=1.32235G/s txt4
BM_UValidate/9/2                  281604 ns       280777 ns         2415 bytes_per_second=1.59831G/s txt4
BM_UValidate/10/1                  13274 ns        13235 ns        52881 bytes_per_second=8.34473G/s pb
BM_UValidate/10/2                  12166 ns        12131 ns        57702 bytes_per_second=9.1046G/s pb
BM_UValidate/11/1                  68387 ns        68186 ns        10273 bytes_per_second=2.51756G/s gaviota
BM_UValidate/11/2                  52646 ns        52492 ns        13337 bytes_per_second=3.27022G/s gaviota
BM_UValidateMedley               1458619 ns      1453400 ns          481 bytes_per_second=1.8766G/s
BM_UIOVecSource/0/1                43104 ns        42973 ns        16296 bytes_per_second=2.21924G/s html (22.12 %)
BM_UIOVecSource/0/2                67878 ns        67676 ns        10337 bytes_per_second=1.40919G/s html (20.70 %)
BM_UIOVecSource/1/1              1051710 ns      1047843 ns          666 bytes_per_second=638.991M/s urls (47.28 %)
BM_UIOVecSource/1/2              1497156 ns      1491802 ns          469 bytes_per_second=448.828M/s urls (45.43 %)
BM_UIOVecSource/2/1                 6404 ns         6384 ns       109627 bytes_per_second=17.9577G/s jpg (99.95 %)
BM_UIOVecSource/2/2                34406 ns        34297 ns        20410 bytes_per_second=3.34258G/s jpg (99.95 %)
BM_UIOVecSource/3/1                  203 ns          203 ns      3450952 bytes_per_second=940.762M/s jpg_200 (73.00 %)
BM_UIOVecSource/3/2                  300 ns          299 ns      2344858 bytes_per_second=638.583M/s jpg_200 (72.50 %)
BM_UIOVecSource/4/1                 8673 ns         8646 ns        80937 bytes_per_second=11.0299G/s pdf (83.31 %)
BM_UIOVecSource/4/2               132822 ns       132422 ns         5288 bytes_per_second=737.461M/s pdf (80.99 %)
BM_UIOVecSource/5/1               177856 ns       177271 ns         3941 bytes_per_second=2.15191G/s html4 (22.40 %)
BM_UIOVecSource/5/2               282719 ns       281802 ns         2482 bytes_per_second=1.35368G/s html4 (20.82 %)
BM_UIOVecSource/6/1               204419 ns       203808 ns         3428 bytes_per_second=711.667M/s txt1 (57.09 %)
BM_UIOVecSource/6/2               345468 ns       344429 ns         1947 bytes_per_second=421.113M/s txt1 (52.31 %)
BM_UIOVecSource/7/1               178104 ns       177563 ns         3948 bytes_per_second=672.326M/s txt2 (61.13 %)
BM_UIOVecSource/7/2               296284 ns       295399 ns         2361 bytes_per_second=404.131M/s txt2 (56.77 %)
BM_UIOVecSource/8/1               924642 ns       921377 ns          759 bytes_per_second=441.713M/s txt3 (54.50 %)
BM_UIOVecSource/8/2              1370377 ns      1365932 ns          512 bytes_per_second=297.954M/s txt3 (49.40 %)
BM_UIOVecSource/9/1              1299493 ns      1295004 ns          541 bytes_per_second=354.855M/s txt4 (65.46 %)
BM_UIOVecSource/9/2              1887058 ns      1880997 ns          372 bytes_per_second=244.306M/s txt4 (60.99 %)
BM_UIOVecSource/10/1               39689 ns        39571 ns        17682 bytes_per_second=2.791G/s pb (19.51 %)
BM_UIOVecSource/10/2               62862 ns        62677 ns        11196 bytes_per_second=1.76212G/s pb (18.33 %)
BM_UIOVecSource/11/1              204414 ns       203792 ns         3435 bytes_per_second=862.553M/s gaviota (37.66 %)
BM_UIOVecSource/11/2              265077 ns       264277 ns         2648 bytes_per_second=665.139M/s gaviota (31.21 %)
BM_UIOVecSink/0                    37846 ns        37735 ns        18546 bytes_per_second=2.52729G/s html
BM_UIOVecSink/1                   596777 ns       594649 ns         1162 bytes_per_second=1125.98M/s urls
BM_UIOVecSink/2                     2399 ns         2392 ns       292618 bytes_per_second=47.923G/s jpg
BM_UIOVecSink/3                      174 ns          174 ns      4057962 bytes_per_second=1099.06M/s jpg_200
BM_UIOVecSink/4                     5096 ns         5080 ns       137766 bytes_per_second=18.7713G/s pdf
BM_UFlatSink/0/1                   40216 ns        40098 ns        17500 bytes_per_second=2.37838G/s html
BM_UFlatSink/0/2                   35688 ns        35580 ns        19670 bytes_per_second=2.68036G/s html
BM_UFlatSink/1/1                  506975 ns       505183 ns         1380 bytes_per_second=1.29432G/s urls
BM_UFlatSink/1/2                  468589 ns       466939 ns         1497 bytes_per_second=1.40033G/s urls
BM_UFlatSink/2/1                    2352 ns         2345 ns       298348 bytes_per_second=48.8782G/s jpg
BM_UFlatSink/2/2                    2351 ns         2344 ns       298606 bytes_per_second=48.9026G/s jpg
BM_UFlatSink/3/1                     103 ns          103 ns      6819264 bytes_per_second=1.81478G/s jpg_200
BM_UFlatSink/3/2                    97.8 ns         97.5 ns      7171047 bytes_per_second=1.90964G/s jpg_200
BM_UFlatSink/4/1                    5461 ns         5445 ns       128539 bytes_per_second=17.5131G/s pdf
BM_UFlatSink/4/2                   10728 ns        10696 ns        65425 bytes_per_second=8.91609G/s pdf
BM_UFlatSink/5/1                  171200 ns       170659 ns         4137 bytes_per_second=2.23527G/s html4
BM_UFlatSink/5/2                  154152 ns       153671 ns         4548 bytes_per_second=2.48238G/s html4
BM_UFlatSink/6/1                  177785 ns       177269 ns         3955 bytes_per_second=818.21M/s txt1
BM_UFlatSink/6/2                  158897 ns       158435 ns         4417 bytes_per_second=915.473M/s txt1
BM_UFlatSink/7/1                  161891 ns       161422 ns         4336 bytes_per_second=739.553M/s txt2
BM_UFlatSink/7/2                  148104 ns       147667 ns         4749 bytes_per_second=808.442M/s txt2
BM_UFlatSink/8/1                  471982 ns       470426 ns         1488 bytes_per_second=865.141M/s txt3
BM_UFlatSink/8/2                  412554 ns       411184 ns         1702 bytes_per_second=989.785M/s txt3
BM_UFlatSink/9/1                  674767 ns       672451 ns         1040 bytes_per_second=683.378M/s txt4
BM_UFlatSink/9/2                  620055 ns       617930 ns         1131 bytes_per_second=743.674M/s txt4
BM_UFlatSink/10/1                  34792 ns        34690 ns        19895 bytes_per_second=3.18374G/s pb
BM_UFlatSink/10/2                  32691 ns        32595 ns        21467 bytes_per_second=3.38837G/s pb
BM_UFlatSink/11/1                 152491 ns       152046 ns         4619 bytes_per_second=1.12901G/s gaviota
BM_UFlatSink/11/2                 116352 ns       116015 ns         6030 bytes_per_second=1.47964G/s gaviota
BM_ZFlat/0/1                       41240 ns        41119 ns        17024 bytes_per_second=2.3193G/s html (22.12 %)
BM_ZFlat/0/2                       65679 ns        65485 ns        10675 bytes_per_second=1.45632G/s html (20.70 %)
BM_ZFlat/1/1                     1032964 ns      1029096 ns          679 bytes_per_second=650.632M/s urls (47.28 %)
BM_ZFlat/1/2                     1485505 ns      1480272 ns          473 bytes_per_second=452.324M/s urls (45.43 %)
BM_ZFlat/2/1                        4177 ns         4164 ns       168116 bytes_per_second=27.5314G/s jpg (99.95 %)
BM_ZFlat/2/2                       32598 ns        32499 ns        21542 bytes_per_second=3.5275G/s jpg (99.95 %)
BM_ZFlat/3/1                         172 ns          171 ns      4086065 bytes_per_second=1112.87M/s jpg_200 (73.00 %)
BM_ZFlat/3/2                         282 ns          282 ns      2486400 bytes_per_second=677.356M/s jpg_200 (72.50 %)
BM_ZFlat/4/1                        6982 ns         6962 ns       100558 bytes_per_second=13.6989G/s pdf (83.31 %)
BM_ZFlat/4/2                      130737 ns       130355 ns         5372 bytes_per_second=749.156M/s pdf (80.99 %)
BM_ZFlat/5/1                      172953 ns       172380 ns         4099 bytes_per_second=2.21295G/s html4 (22.40 %)
BM_ZFlat/5/2                      278041 ns       277140 ns         2525 bytes_per_second=1.37645G/s html4 (20.82 %)
BM_ZFlat/6/1                      203041 ns       202436 ns         3468 bytes_per_second=716.489M/s txt1 (57.09 %)
