[sonic-cpp] running official CMake benchmark (benchmark/main.cpp)
2026-09-08T11:03:37+08:00
Running /home/runner/boostkit-perf/sonic-cpp/1.0.2/aarch64/34181714311-2/build/benchmark/bench
Run on (384 X 2299.08 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x192)
  L1 Instruction 128 KiB (x192)
  L2 Unified 1024 KiB (x192)
  L3 Unified 23296 KiB (x24)
Load Average: 3.12, 2.89, 2.76
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
-----------------------------------------------------------------------------------------------------------
twitter/SonicOnDemand_Normal_mean                     45481 ns        45400 ns            5 bytes_per_second=5.42356Gi/s Normal
twitter/SonicOnDemand_Normal_median                   45487 ns        45426 ns            5 bytes_per_second=5.4204Gi/s Normal
twitter/SonicOnDemand_Normal_stddev                     113 ns          103 ns            5 bytes_per_second=12.6499Mi/s Normal
twitter/SonicOnDemand_Normal_cv                        0.25 %          0.23 %             5 bytes_per_second=0.23% Normal
twitter/RapidjsonSaxOnDemand_Normal_mean             776383 ns       774934 ns            5 bytes_per_second=325.364Mi/s Normal
twitter/RapidjsonSaxOnDemand_Normal_median           776065 ns       774543 ns            5 bytes_per_second=325.528Mi/s Normal
twitter/RapidjsonSaxOnDemand_Normal_stddev              575 ns          677 ns            5 bytes_per_second=290.886Ki/s Normal
twitter/RapidjsonSaxOnDemand_Normal_cv                 0.07 %          0.09 %             5 bytes_per_second=0.09% Normal
twitter/SIMDjsonOnDemand_Normal_mean                 113522 ns       113282 ns            5 bytes_per_second=2.17357Gi/s Normal
twitter/SIMDjsonOnDemand_Normal_median               113520 ns       113228 ns            5 bytes_per_second=2.1746Gi/s Normal
twitter/SIMDjsonOnDemand_Normal_stddev                  206 ns          205 ns            5 bytes_per_second=4.02784Mi/s Normal
twitter/SIMDjsonOnDemand_Normal_cv                     0.18 %          0.18 %             5 bytes_per_second=0.18% Normal
citm_catalog/SonicOnDemand_Fronter_mean               22151 ns        22115 ns            5 bytes_per_second=72.7365Gi/s Fronter
citm_catalog/SonicOnDemand_Fronter_median             22151 ns        22118 ns            5 bytes_per_second=72.7267Gi/s Fronter
citm_catalog/SonicOnDemand_Fronter_stddev              11.0 ns         11.8 ns            5 bytes_per_second=39.6344Mi/s Fronter
citm_catalog/SonicOnDemand_Fronter_cv                  0.05 %          0.05 %             5 bytes_per_second=0.05% Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_mean       174075 ns       173645 ns            5 bytes_per_second=9.26411Gi/s Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_median     174016 ns       173474 ns            5 bytes_per_second=9.27275Gi/s Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_stddev       1482 ns         1411 ns            5 bytes_per_second=76.6286Mi/s Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_cv           0.85 %          0.81 %             5 bytes_per_second=0.81% Fronter
citm_catalog/SIMDjsonOnDemand_Fronter_mean           514775 ns       513314 ns            5 bytes_per_second=3.13373Gi/s Fronter
citm_catalog/SIMDjsonOnDemand_Fronter_median         514641 ns       513191 ns            5 bytes_per_second=3.13448Gi/s Fronter
citm_catalog/SIMDjsonOnDemand_Fronter_stddev            465 ns          492 ns            5 bytes_per_second=3.07487Mi/s Fronter
citm_catalog/SIMDjsonOnDemand_Fronter_cv               0.09 %          0.10 %             5 bytes_per_second=0.10% Fronter
twitter/SonicOnDemand_NotFound_mean                   45180 ns        45088 ns            5 bytes_per_second=5.46095Gi/s NotFound
twitter/SonicOnDemand_NotFound_median                 45184 ns        45094 ns            5 bytes_per_second=5.46025Gi/s NotFound
twitter/SonicOnDemand_NotFound_stddev                  25.7 ns         23.0 ns            5 bytes_per_second=2.8524Mi/s NotFound
twitter/SonicOnDemand_NotFound_cv                      0.06 %          0.05 %             5 bytes_per_second=0.05% NotFound
