[sonic-cpp] running official CMake benchmark (benchmark/main.cpp)
2026-09-08T11:02:06+08:00
Running /home/runner/boostkit-perf/sonic-cpp/1.0.2/x86_64/34181714311-2/build/benchmark/bench
Run on (384 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x192)
  L1 Instruction 32 KiB (x192)
  L2 Unified 1024 KiB (x192)
  L3 Unified 32768 KiB (x24)
Load Average: 0.63, 1.89, 1.86
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
-----------------------------------------------------------------------------------------------------------
twitter/SonicOnDemand_Normal_mean                     15983 ns        15923 ns            5 bytes_per_second=15.4633Gi/s Normal
twitter/SonicOnDemand_Normal_median                   15980 ns        15918 ns            5 bytes_per_second=15.4682Gi/s Normal
twitter/SonicOnDemand_Normal_stddev                    14.9 ns         15.5 ns            5 bytes_per_second=15.4233Mi/s Normal
twitter/SonicOnDemand_Normal_cv                        0.09 %          0.10 %             5 bytes_per_second=0.10% Normal
twitter/RapidjsonSaxOnDemand_Normal_mean             312687 ns       311530 ns            5 bytes_per_second=809.346Mi/s Normal
twitter/RapidjsonSaxOnDemand_Normal_median           312618 ns       311455 ns            5 bytes_per_second=809.541Mi/s Normal
twitter/RapidjsonSaxOnDemand_Normal_stddev              212 ns          221 ns            5 bytes_per_second=588.691Ki/s Normal
twitter/RapidjsonSaxOnDemand_Normal_cv                 0.07 %          0.07 %             5 bytes_per_second=0.07% Normal
twitter/SIMDjsonOnDemand_Normal_mean                  51926 ns        51735 ns            5 bytes_per_second=4.75939Gi/s Normal
twitter/SIMDjsonOnDemand_Normal_median                51912 ns        51718 ns            5 bytes_per_second=4.76093Gi/s Normal
twitter/SIMDjsonOnDemand_Normal_stddev                 24.9 ns         23.4 ns            5 bytes_per_second=2.20381Mi/s Normal
twitter/SIMDjsonOnDemand_Normal_cv                     0.05 %          0.05 %             5 bytes_per_second=0.05% Normal
citm_catalog/SonicOnDemand_Fronter_mean                9348 ns         9313 ns            5 bytes_per_second=172.719Gi/s Fronter
citm_catalog/SonicOnDemand_Fronter_median              9348 ns         9314 ns            5 bytes_per_second=172.703Gi/s Fronter
citm_catalog/SonicOnDemand_Fronter_stddev              3.65 ns         4.12 ns            5 bytes_per_second=78.1774Mi/s Fronter
citm_catalog/SonicOnDemand_Fronter_cv                  0.04 %          0.04 %             5 bytes_per_second=0.04% Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_mean        94518 ns        94171 ns            5 bytes_per_second=17.0816Gi/s Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_median      94518 ns        94177 ns            5 bytes_per_second=17.0805Gi/s Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_stddev       88.2 ns         87.9 ns            5 bytes_per_second=16.3202Mi/s Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_cv           0.09 %          0.09 %             5 bytes_per_second=0.09% Fronter
citm_catalog/SIMDjsonOnDemand_Fronter_mean           221217 ns       220276 ns            5 bytes_per_second=7.30259Gi/s Fronter
citm_catalog/SIMDjsonOnDemand_Fronter_median         221116 ns       220182 ns            5 bytes_per_second=7.3057Gi/s Fronter
citm_catalog/SIMDjsonOnDemand_Fronter_stddev            195 ns          193 ns            5 bytes_per_second=6.53659Mi/s Fronter
citm_catalog/SIMDjsonOnDemand_Fronter_cv               0.09 %          0.09 %             5 bytes_per_second=0.09% Fronter
twitter/SonicOnDemand_NotFound_mean                   15862 ns        15803 ns            5 bytes_per_second=15.5805Gi/s NotFound
twitter/SonicOnDemand_NotFound_median                 15860 ns        15801 ns            5 bytes_per_second=15.5831Gi/s NotFound
twitter/SonicOnDemand_NotFound_stddev                  6.14 ns         6.03 ns            5 bytes_per_second=6.08186Mi/s NotFound
twitter/SonicOnDemand_NotFound_cv                      0.04 %          0.04 %             5 bytes_per_second=0.04% NotFound
twitter/RapidjsonSaxOnDemand_NotFound_mean           315552 ns       314224 ns            5 bytes_per_second=802.406Mi/s NotFound
twitter/RapidjsonSaxOnDemand_NotFound_median         315441 ns       314192 ns            5 bytes_per_second=802.488Mi/s NotFound
twitter/RapidjsonSaxOnDemand_NotFound_stddev            311 ns          320 ns            5 bytes_per_second=835.099Ki/s NotFound
twitter/RapidjsonSaxOnDemand_NotFound_cv               0.10 %          0.10 %             5 bytes_per_second=0.10% NotFound
twitter/SIMDjsonOnDemand_NotFound_mean                52020 ns        51797 ns            5 bytes_per_second=4.75366Gi/s NotFound
