[sonic] running official CMake benchmark (benchmark/main.cpp)
2026-08-24T10:22:35+08:00
Running /tmp/boostkit-perf/32682799285-1/HPC/sonic/1.0.2/aarch64/build/benchmark/bench
Run on (256 X 2900 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x128)
  L1 Instruction 64 KiB (x128)
  L2 Unified 1280 KiB (x128)
  L3 Unified 57344 KiB (x4)
Load Average: 0.77, 0.26, 0.09
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
-----------------------------------------------------------------------------------------------------------
twitter/SonicOnDemand_Normal_mean                     34427 ns        34404 ns            5 bytes_per_second=7.15787Gi/s Normal
twitter/SonicOnDemand_Normal_median                   34227 ns        34204 ns            5 bytes_per_second=7.19874Gi/s Normal
twitter/SonicOnDemand_Normal_stddev                     459 ns          459 ns            5 bytes_per_second=96.0217Mi/s Normal
twitter/SonicOnDemand_Normal_cv                        1.33 %          1.33 %             5 bytes_per_second=1.31% Normal
twitter/RapidjsonSaxOnDemand_Normal_mean             851118 ns       850676 ns            5 bytes_per_second=296.394Mi/s Normal
twitter/RapidjsonSaxOnDemand_Normal_median           851195 ns       850725 ns            5 bytes_per_second=296.377Mi/s Normal
twitter/RapidjsonSaxOnDemand_Normal_stddev              262 ns          273 ns            5 bytes_per_second=97.2939Ki/s Normal
twitter/RapidjsonSaxOnDemand_Normal_cv                 0.03 %          0.03 %             5 bytes_per_second=0.03% Normal
twitter/SIMDjsonOnDemand_Normal_mean                  78818 ns        78777 ns            5 bytes_per_second=3.12561Gi/s Normal
twitter/SIMDjsonOnDemand_Normal_median                78805 ns        78763 ns            5 bytes_per_second=3.12616Gi/s Normal
twitter/SIMDjsonOnDemand_Normal_stddev                 29.4 ns         29.0 ns            5 bytes_per_second=1.17949Mi/s Normal
twitter/SIMDjsonOnDemand_Normal_cv                     0.04 %          0.04 %             5 bytes_per_second=0.04% Normal
citm_catalog/SonicOnDemand_Fronter_mean               18037 ns        18028 ns            5 bytes_per_second=89.2279Gi/s Fronter
citm_catalog/SonicOnDemand_Fronter_median             18037 ns        18026 ns            5 bytes_per_second=89.2364Gi/s Fronter
citm_catalog/SonicOnDemand_Fronter_stddev              3.20 ns         3.58 ns            5 bytes_per_second=18.1374Mi/s Fronter
citm_catalog/SonicOnDemand_Fronter_cv                  0.02 %          0.02 %             5 bytes_per_second=0.02% Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_mean       164327 ns       164245 ns            5 bytes_per_second=9.79382Gi/s Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_median     164342 ns       164263 ns            5 bytes_per_second=9.79274Gi/s Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_stddev       65.8 ns         65.9 ns            5 bytes_per_second=4.02615Mi/s Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_cv           0.04 %          0.04 %             5 bytes_per_second=0.04% Fronter
citm_catalog/SIMDjsonOnDemand_Fronter_mean           342588 ns       342342 ns            5 bytes_per_second=4.69877Gi/s Fronter
citm_catalog/SIMDjsonOnDemand_Fronter_median         342544 ns       342297 ns            5 bytes_per_second=4.69939Gi/s Fronter
citm_catalog/SIMDjsonOnDemand_Fronter_stddev            117 ns          111 ns            5 bytes_per_second=1.56049Mi/s Fronter
citm_catalog/SIMDjsonOnDemand_Fronter_cv               0.03 %          0.03 %             5 bytes_per_second=0.03% Fronter
twitter/SonicOnDemand_NotFound_mean                   34019 ns        34001 ns            5 bytes_per_second=7.24182Gi/s NotFound
twitter/SonicOnDemand_NotFound_median                 34028 ns        34008 ns            5 bytes_per_second=7.24016Gi/s NotFound
twitter/SonicOnDemand_NotFound_stddev                  18.9 ns         18.6 ns            5 bytes_per_second=4.05983Mi/s NotFound
twitter/SonicOnDemand_NotFound_cv                      0.06 %          0.05 %             5 bytes_per_second=0.05% NotFound
twitter/RapidjsonSaxOnDemand_NotFound_mean           851314 ns       850868 ns            5 bytes_per_second=296.327Mi/s NotFound
twitter/RapidjsonSaxOnDemand_NotFound_median         851363 ns       850914 ns            5 bytes_per_second=296.311Mi/s NotFound
twitter/RapidjsonSaxOnDemand_NotFound_stddev            124 ns          117 ns            5 bytes_per_second=41.7378Ki/s NotFound
twitter/RapidjsonSaxOnDemand_NotFound_cv               0.01 %          0.01 %             5 bytes_per_second=0.01% NotFound
twitter/SIMDjsonOnDemand_NotFound_mean                78858 ns        78815 ns            5 bytes_per_second=3.12409Gi/s NotFound
twitter/SIMDjsonOnDemand_NotFound_median              78852 ns        78808 ns            5 bytes_per_second=3.12439Gi/s NotFound
twitter/SIMDjsonOnDemand_NotFound_stddev               35.7 ns         36.3 ns            5 bytes_per_second=1.47338Mi/s NotFound
twitter/SIMDjsonOnDemand_NotFound_cv                   0.05 %          0.05 %             5 bytes_per_second=0.05% NotFound
twitterescaped/Decode_SonicDyn_mean                  414144 ns       413748 ns            5 bytes_per_second=1.26595Gi/s testdata/twitterescaped.json
twitterescaped/Decode_SonicDyn_median                414049 ns       413650 ns            5 bytes_per_second=1.26625Gi/s testdata/twitterescaped.json
twitterescaped/Decode_SonicDyn_stddev                   159 ns          156 ns            5 bytes_per_second=501.788Ki/s testdata/twitterescaped.json
twitterescaped/Decode_SonicDyn_cv                      0.04 %          0.04 %             5 bytes_per_second=0.04% testdata/twitterescaped.json
twitterescaped/Decode_Rapidjson_mean                1912378 ns      1910769 ns            5 bytes_per_second=280.701Mi/s testdata/twitterescaped.json
twitterescaped/Decode_Rapidjson_median              1912845 ns      1911144 ns            5 bytes_per_second=280.646Mi/s testdata/twitterescaped.json
