[sonic] running official CMake benchmark (benchmark/main.cpp)
2026-08-24T02:22:22+00:00
Running /tmp/boostkit-perf/32682799285-1/HPC/sonic/1.0.2/x86_64/build/benchmark/bench
Run on (16 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1024 KiB (x8)
  L3 Unified 32768 KiB (x1)
Load Average: 1.27, 0.35, 0.11
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
-----------------------------------------------------------------------------------------------------------
twitter/SonicOnDemand_Normal_mean                     16096 ns        16048 ns            5 bytes_per_second=15.3431Gi/s Normal
twitter/SonicOnDemand_Normal_median                   16096 ns        16049 ns            5 bytes_per_second=15.3422Gi/s Normal
twitter/SonicOnDemand_Normal_stddev                    2.84 ns         2.48 ns            5 bytes_per_second=2.42909Mi/s Normal
twitter/SonicOnDemand_Normal_cv                        0.02 %          0.02 %             5 bytes_per_second=0.02% Normal
twitter/RapidjsonSaxOnDemand_Normal_mean             326618 ns       325652 ns            5 bytes_per_second=774.248Mi/s Normal
twitter/RapidjsonSaxOnDemand_Normal_median           326620 ns       325659 ns            5 bytes_per_second=774.23Mi/s Normal
twitter/RapidjsonSaxOnDemand_Normal_stddev              209 ns          207 ns            5 bytes_per_second=503.316Ki/s Normal
twitter/RapidjsonSaxOnDemand_Normal_cv                 0.06 %          0.06 %             5 bytes_per_second=0.06% Normal
twitter/SIMDjsonOnDemand_Normal_mean                  52328 ns        52170 ns            5 bytes_per_second=4.71967Gi/s Normal
twitter/SIMDjsonOnDemand_Normal_median                52325 ns        52170 ns            5 bytes_per_second=4.71968Gi/s Normal
twitter/SIMDjsonOnDemand_Normal_stddev                 14.0 ns         12.1 ns            5 bytes_per_second=1.12536Mi/s Normal
twitter/SIMDjsonOnDemand_Normal_cv                     0.03 %          0.02 %             5 bytes_per_second=0.02% Normal
citm_catalog/SonicOnDemand_Fronter_mean                9428 ns         9401 ns            5 bytes_per_second=171.116Gi/s Fronter
citm_catalog/SonicOnDemand_Fronter_median              9432 ns         9404 ns            5 bytes_per_second=171.055Gi/s Fronter
citm_catalog/SonicOnDemand_Fronter_stddev              9.97 ns         9.89 ns            5 bytes_per_second=184.573Mi/s Fronter
citm_catalog/SonicOnDemand_Fronter_cv                  0.11 %          0.11 %             5 bytes_per_second=0.11% Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_mean        96952 ns        96663 ns            5 bytes_per_second=16.6412Gi/s Fronter
citm_catalog/RapidjsonSaxOnDemand_Fronter_median      96977 ns        96683 ns            5 bytes_per_second=16.6377Gi/s Fronter
