                       	strtok
Length    4/2, alignment  0/ 0, found:	11.6704
Length    4/2, alignment  0/ 0, fail:	10.5669
Length    4/2, alignment  0/ 3, found:	11.3965
Length    4/2, alignment  0/ 3, fail:	11.3579
Length    4/2, alignment  0/ 9, found:	11.3677
Length    4/2, alignment  0/ 9, fail:	11.3623
Length    4/2, alignment  0/15, found:	15.2197
Length    4/2, alignment  0/15, fail:	11.6411
Length    4/2, alignment  3/ 0, found:	11.1138
Length    4/2, alignment  3/ 0, fail:	11.0991
Length    4/2, alignment  3/ 3, found:	11.665
Length    4/2, alignment  3/ 3, fail:	11.6411
Length    4/2, alignment  3/ 9, found:	11.6313
Length    4/2, alignment  3/ 9, fail:	11.6313
Length    4/2, alignment  3/15, found:	11.9189
Length    4/2, alignment  3/15, fail:	11.9097
Length    4/2, alignment  9/ 0, found:	14.395
Length    4/2, alignment  9/ 0, fail:	10.8306
Length    4/2, alignment  9/ 3, found:	11.6602
Length    4/2, alignment  9/ 3, fail:	11.6455
Length    4/2, alignment  9/ 9, found:	11.6313
Length    4/2, alignment  9/ 9, fail:	11.6362
Length    4/2, alignment  9/15, found:	11.6455
Length    4/2, alignment  9/15, fail:	11.6357
Length    4/2, alignment 15/ 0, found:	11.6558
Length    4/2, alignment 15/ 0, fail:	12.7446
Length    4/2, alignment 15/ 3, found:	12.7642
Length    4/2, alignment 15/ 3, fail:	13.54
Length    4/2, alignment 15/ 9, found:	12.7246
Length    4/2, alignment 15/ 9, fail:	13.2622
Length    4/2, alignment 15/15, found:	12.7397
Length    4/2, alignment 15/15, fail:	13.8042
Length    6/2, alignment  0/ 0, found:	11.6948
Length    6/2, alignment  0/ 0, fail:	10.8398
Length    6/2, alignment  0/ 3, found:	11.9634
Length    6/2, alignment  0/ 3, fail:	11.3677
Length    6/2, alignment  0/ 9, found:	11.9238
Length    6/2, alignment  0/ 9, fail:	11.3721
Length    6/2, alignment  0/15, found:	12.7739
Length    6/2, alignment  0/15, fail:	11.646
Length    6/2, alignment  3/ 0, found:	10.8691
Length    6/2, alignment  3/ 0, fail:	10.8398
Length    6/2, alignment  3/ 3, found:	16.3823
Length    6/2, alignment  3/ 3, fail:	11.646
Length    6/2, alignment  3/ 9, found:	11.646
Length    6/2, alignment  3/ 9, fail:	11.6309
Length    6/2, alignment  3/15, found:	11.9531
Length    6/2, alignment  3/15, fail:	11.9097
Length    6/2, alignment  9/ 0, found:	11.1235
Length    6/2, alignment  9/ 0, fail:	11.0986
Length    6/2, alignment  9/ 3, found:	11.646
Length    6/2, alignment  9/ 3, fail:	11.6313
Length    6/2, alignment  9/ 9, found:	15.0981
Length    6/2, alignment  9/ 9, fail:	11.6313
Length    6/2, alignment  9/15, found:	12.2217
Length    6/2, alignment  9/15, fail:	12.1782
Length    6/2, alignment 15/ 0, found:	13.0327
Length    6/2, alignment 15/ 0, fail:	13.2817
Length    6/2, alignment 15/ 3, found:	13.3062
Length    6/2, alignment 15/ 3, fail:	13.5356
Length    6/2, alignment 15/ 9, found:	13.2812
Length    6/2, alignment 15/ 9, fail:	13.2524
Length    6/2, alignment 15/15, found:	13.853
Length    6/2, alignment 15/15, fail:	14.0874
Length    8/2, alignment  0/ 0, found:	11.939
Length    8/2, alignment  0/ 0, fail:	11.377
Length    8/2, alignment  0/ 3, found:	12.2021
Length    8/2, alignment  0/ 3, fail:	11.6558
Length    8/2, alignment  0/ 9, found:	11.9048
Length    8/2, alignment  0/ 9, fail:	11.6357
Length    8/2, alignment  0/15, found:	12.7539
Length    8/2, alignment  0/15, fail:	12.1929
Length    8/2, alignment  3/ 0, found:	11.6704
Length    8/2, alignment  3/ 0, fail:	11.646
Length    8/2, alignment  3/ 3, found:	11.9385
Length    8/2, alignment  3/ 3, fail:	11.9146
Length    8/2, alignment  3/ 9, found:	11.9097
Length    8/2, alignment  3/ 9, fail:	11.8999
Length    8/2, alignment  3/15, found:	15.9038
Length    8/2, alignment  3/15, fail:	12.1826
Length    8/2, alignment  9/ 0, found:	11.3921
Length    8/2, alignment  9/ 0, fail:	12.7251
Length    8/2, alignment  9/ 3, found:	11.9292
Length    8/2, alignment  9/ 3, fail:	13.2769
Length    8/2, alignment  9/ 9, found:	11.9385
Length    8/2, alignment  9/ 9, fail:	13.2524
Length    8/2, alignment  9/15, found:	12.1978
Length    8/2, alignment  9/15, fail:	17.9888
Length    8/2, alignment 15/ 0, found:	13.0229
Length    8/2, alignment 15/ 0, fail:	13.2817
Length    8/2, alignment 15/ 3, found:	13.2866
Length    8/2, alignment 15/ 3, fail:	13.54
Length    8/2, alignment 15/ 9, found:	13.2568
Length    8/2, alignment 15/ 9, fail:	13.2524
Length    8/2, alignment 15/15, found:	13.5503
Length    8/2, alignment 15/15, fail:	13.8188
Length   10/2, alignment  0/ 0, found:	12.2124
Length   10/2, alignment  0/ 0, fail:	11.6504
Length   10/2, alignment  0/ 3, found:	12.2271
Length   10/2, alignment  0/ 3, fail:	11.6558
Length   10/2, alignment  0/ 9, found:	12.188
Length   10/2, alignment  0/ 9, fail:	11.6406
Length   10/2, alignment  0/15, found:	12.7539
Length   10/2, alignment  0/15, fail:	12.188
Length   10/2, alignment  3/ 0, found:	11.9341
Length   10/2, alignment  3/ 0, fail:	11.9146
Length   10/2, alignment  3/ 3, found:	11.9336
Length   10/2, alignment  3/ 3, fail:	11.9194
Length   10/2, alignment  3/ 9, found:	11.9194
Length   10/2, alignment  3/ 9, fail:	11.9146
Length   10/2, alignment  3/15, found:	12.4707
Length   10/2, alignment  3/15, fail:	12.4561
Length   10/2, alignment  9/ 0, found:	11.9341
Length   10/2, alignment  9/ 0, fail:	15.7524
Length   10/2, alignment  9/ 3, found:	12.2026
Length   10/2, alignment  9/ 3, fail:	13.2671
Length   10/2, alignment  9/ 9, found:	12.1924
Length   10/2, alignment  9/ 9, fail:	13.2524
Length   10/2, alignment  9/15, found:	11.9438
Length   10/2, alignment  9/15, fail:	13.2671
Length   10/2, alignment 15/ 0, found:	12.7544
Length   10/2, alignment 15/ 0, fail:	13.2715
Length   10/2, alignment 15/ 3, found:	17.9058
Length   10/2, alignment 15/ 3, fail:	13.5352
Length   10/2, alignment 15/ 9, found:	13.2764
Length   10/2, alignment 15/ 9, fail:	13.2573
Length   10/2, alignment 15/15, found:	13.3306
Length   10/2, alignment 15/15, fail:	13.8286
Length   12/2, alignment  0/ 0, found:	12.188
Length   12/2, alignment  0/ 0, fail:	11.3672
Length   12/2, alignment  0/ 3, found:	11.9292
