                            	generic_memccpy	memccpy
Length   16, n   16, char 12, alignment  1/ 1:	5.51868	4.73969
Length   16, n   16, char 23, alignment  1/ 1:	5.50156	4.71434
Length   16, n   16, char 28, alignment  1/ 2:	5.5007	4.73497
Length   16, n   16, char 31, alignment  2/ 1:	5.63324	4.72418
Length    2, n    4, char 1, alignment  7/ 2:	4.9588	4.48198
Length    4, n    2, char 17, alignment  2/ 7:	4.14516	4.48284
Length    2, n    4, char 0, alignment  7/ 2:	4.95745	4.49255
Length    4, n    2, char 1, alignment  2/ 7:	4.13809	4.49049
Length   16, n   16, char 12, alignment  2/ 2:	5.60461	4.72403
Length   16, n   16, char 23, alignment  2/ 2:	5.49913	4.71973
Length   16, n   16, char 28, alignment  2/ 4:	5.71501	4.72155
Length   16, n   16, char 31, alignment  4/ 2:	5.49383	4.72145
Length    4, n    8, char 1, alignment  6/ 4:	4.95918	4.11978
Length    8, n    4, char 17, alignment  4/ 6:	4.14562	4.13805
Length    4, n    8, char 0, alignment  6/ 4:	4.95668	4.12262
Length    8, n    4, char 2, alignment  4/ 6:	4.13799	4.14022
Length   16, n   16, char 12, alignment  3/ 3:	5.74638	4.71853
Length   16, n   16, char 23, alignment  3/ 3:	5.49633	4.71535
Length   16, n   16, char 28, alignment  3/ 6:	5.49578	4.71531
Length   16, n   16, char 31, alignment  6/ 3:	5.49301	4.72374
Length    8, n   16, char 1, alignment  5/ 6:	4.95504	4.06084
Length   16, n    8, char 17, alignment  6/ 5:	4.48545	3.79333
Length    8, n   16, char 0, alignment  5/ 6:	4.95377	4.06122
Length   16, n    8, char 3, alignment  6/ 5:	4.48608	3.79686
Length   16, n   16, char 12, alignment  4/ 4:	5.49507	4.71966
Length   16, n   16, char 23, alignment  4/ 4:	5.49595	4.71279
Length   16, n   16, char 28, alignment  4/ 0:	5.49744	4.72897
Length   16, n   16, char 31, alignment  0/ 4:	4.6019	4.02224
Length   16, n   32, char 1, alignment  4/ 0:	5.79178	4.8316
Length   32, n   16, char 17, alignment  0/ 4:	4.4854	3.7933
Length   16, n   32, char 0, alignment  4/ 0:	5.75071	4.82973
Length   32, n   16, char 4, alignment  0/ 4:	4.48282	3.79606
Length   16, n   16, char 12, alignment  5/ 5:	5.63274	4.72286
Length   16, n   16, char 23, alignment  5/ 5:	5.49795	4.72256
Length   16, n   16, char 28, alignment  5/ 2:	5.50169	4.72723
Length   16, n   16, char 31, alignment  2/ 5:	5.60192	4.72322
Length   32, n   64, char 1, alignment  3/ 2:	6.17224	5.50325
Length   64, n   32, char 17, alignment  2/ 3:	5.28862	4.83238
Length   32, n   64, char 0, alignment  3/ 2:	6.16755	5.50915
Length   64, n   32, char 5, alignment  2/ 3:	5.2916	4.83208
Length   16, n   16, char 12, alignment  6/ 6:	5.5274	4.72561
Length   16, n   16, char 23, alignment  6/ 6:	5.60581	4.71315
Length   16, n   16, char 28, alignment  6/ 4:	5.52956	4.7246
Length   16, n   16, char 31, alignment  4/ 6:	5.52742	4.71371
Length   64, n  128, char 1, alignment  2/ 4:	6.82692	6.39526
Length  128, n   64, char 17, alignment  4/ 2:	5.98124	5.51863
Length   64, n  128, char 0, alignment  2/ 4:	6.82817	6.4003
Length  128, n   64, char 6, alignment  4/ 2:	5.98162	5.52074
Length   16, n   16, char 12, alignment  7/ 7:	5.71619	4.72963
Length   16, n   16, char 23, alignment  7/ 7:	5.59088	4.71359
Length   16, n   16, char 28, alignment  7/ 6:	5.6959	4.71786
Length   16, n   16, char 31, alignment  6/ 7:	5.52711	4.72033
Length  128, n  256, char 1, alignment  1/ 6:	8.81716	8.24638
Length  256, n  128, char 17, alignment  6/ 1:	7.93331	7.5893
Length  128, n  256, char 0, alignment  1/ 6:	8.64176	8.2465
Length  256, n  128, char 7, alignment  6/ 1:	7.93562	7.58951
Length    8, n   16, char 1, alignment  0/ 0:	4.60245	4.06647
Length   32, n   16, char 1, alignment  0/ 0:	4.48284	3.79543
Length    8, n   16, char 1, alignment  7/ 2:	4.95237	4.06425
Length   32, n   16, char 1, alignment  7/ 2:	4.9461	4.48294
Length   16, n   32, char 2, alignment  0/ 0:	4.60413	4.01857
Length   64, n   32, char 2, alignment  0/ 0:	4.94551	4.48578
Length   16, n   32, char 2, alignment  6/ 4:	5.75752	4.83084
Length   64, n   32, char 2, alignment  6/ 4:	5.29238	4.82775
Length   32, n   64, char 3, alignment  0/ 0:	5.37271	4.83189
Length  128, n   64, char 3, alignment  0/ 0:	5.63286	5.17565
Length   32, n   64, char 3, alignment  5/ 6:	6.17125	5.56343
Length  128, n   64, char 3, alignment  5/ 6:	5.97801	5.52324
Length   64, n  128, char 4, alignment  0/ 0:	6.01166	5.57219
Length  256, n  128, char 4, alignment  0/ 0:	7.59562	7.24977
Length   64, n  128, char 4, alignment  4/ 0:	6.82209	6.39702
Length  256, n  128, char 4, alignment  4/ 0:	7.93432	7.58841
Length  128, n  256, char 5, alignment  0/ 0:	7.93411	7.26694
Length  512, n  256, char 5, alignment  0/ 0:	11.3846	11.0423
Length  128, n  256, char 5, alignment  3/ 2:	8.64166	8.24194
Length  512, n  256, char 5, alignment  3/ 2:	11.7544	11.5461
