                       	__stpcpy_chk	normal_stpcpy
Length    0, alignment  0/ 0:	4.0966	2.46086
Length    0, alignment  0/ 0:	4.09668	2.46086
Length    0, alignment  0/ 0:	4.23248	2.41425
Length    0, alignment  0/ 0:	4.09691	2.46101
Length    1, alignment  0/ 0:	4.09668	2.16217
Length    1, alignment  0/ 0:	4.0966	2.16156
Length    1, alignment  0/ 1:	4.09615	2.19177
Length    1, alignment  1/ 0:	4.09607	2.16156
Length    2, alignment  0/ 0:	4.09668	2.16171
Length    2, alignment  0/ 0:	4.09668	2.16164
Length    2, alignment  0/ 2:	4.09767	2.16087
Length    2, alignment  2/ 0:	4.09645	2.19025
Length    3, alignment  0/ 0:	3.79013	2.09892
Length    3, alignment  0/ 0:	3.79036	2.09961
Length    3, alignment  0/ 3:	3.7899	2.09953
Length    3, alignment  3/ 0:	3.79005	2.09892
Length    4, alignment  0/ 0:	3.79013	2.1228
Length    4, alignment  0/ 0:	3.79005	2.09862
Length    4, alignment  0/ 4:	3.79005	2.09984
Length    4, alignment  4/ 0:	3.80051	2.1492
Length    5, alignment  0/ 0:	3.79089	2.09839
Length    5, alignment  0/ 0:	3.79044	2.09915
Length    5, alignment  0/ 5:	3.82118	2.09908
Length    5, alignment  5/ 0:	3.8102	2.17194
Length    6, alignment  0/ 0:	3.78998	2.09808
Length    6, alignment  0/ 0:	3.79051	2.0993
Length    6, alignment  0/ 6:	3.79097	2.09885
Length    6, alignment  6/ 0:	3.83125	2.15561
Length    7, alignment  0/ 0:	3.79425	2.09793
Length    7, alignment  0/ 0:	3.79318	2.09892
Length    7, alignment  0/ 7:	3.79311	2.09854
Length    7, alignment  7/ 0:	3.81447	2.155
Length    8, alignment  0/ 0:	3.8266	2.12692
Length    8, alignment  0/ 0:	3.80211	2.12608
Length    8, alignment  0/ 0:	3.80173	2.12654
Length    8, alignment  0/ 0:	3.80196	2.12593
Length    9, alignment  0/ 0:	3.80211	2.12517
Length    9, alignment  0/ 0:	3.82965	2.12608
Length    9, alignment  0/ 1:	3.80264	2.12471
Length    9, alignment  1/ 0:	3.81447	2.1508
Length   10, alignment  0/ 0:	3.80157	2.12631
Length   10, alignment  0/ 0:	3.80165	2.12616
Length   10, alignment  0/ 2:	3.82309	2.12639
Length   10, alignment  2/ 0:	3.81516	2.15065
