                       	strsep
Length    8/2, alignment  0/ 0, found:	16.9067
Length    8/2, alignment  0/ 0, fail:	14.8352
Length    8/2, alignment  0/ 3, found:	16.908
Length    8/2, alignment  0/ 3, fail:	14.8364
Length    8/2, alignment  0/ 9, found:	16.9092
Length    8/2, alignment  0/ 9, fail:	14.8328
Length    8/2, alignment  0/15, found:	16.9031
Length    8/2, alignment  0/15, fail:	14.8303
Length    8/2, alignment  3/ 0, found:	16.9019
Length    8/2, alignment  3/ 0, fail:	14.8315
Length    8/2, alignment  3/ 3, found:	19.1248
Length    8/2, alignment  3/ 3, fail:	14.8291
Length    8/2, alignment  3/ 9, found:	16.9019
Length    8/2, alignment  3/ 9, fail:	14.8291
Length    8/2, alignment  3/15, found:	16.9043
Length    8/2, alignment  3/15, fail:	14.8303
Length    8/2, alignment  9/ 0, found:	16.9043
Length    8/2, alignment  9/ 0, fail:	15.2429
Length    8/2, alignment  9/ 3, found:	16.9055
Length    8/2, alignment  9/ 3, fail:	15.2441
Length    8/2, alignment  9/ 9, found:	16.9055
Length    8/2, alignment  9/ 9, fail:	15.238
Length    8/2, alignment  9/15, found:	16.9006
Length    8/2, alignment  9/15, fail:	15.2441
Length    8/2, alignment 15/ 0, found:	17.3572
Length    8/2, alignment 15/ 0, fail:	15.2344
Length    8/2, alignment 15/ 3, found:	17.3267
Length    8/2, alignment 15/ 3, fail:	15.2344
Length    8/2, alignment 15/ 9, found:	17.3499
Length    8/2, alignment 15/ 9, fail:	15.2356
Length    8/2, alignment 15/15, found:	17.3291
Length    8/2, alignment 15/15, fail:	15.2466
Length   10/2, alignment  0/ 0, found:	16.9043
Length   10/2, alignment  0/ 0, fail:	14.8364
Length   10/2, alignment  0/ 3, found:	16.9019
Length   10/2, alignment  0/ 3, fail:	14.8315
Length   10/2, alignment  0/ 9, found:	16.9043
Length   10/2, alignment  0/ 9, fail:	14.8315
Length   10/2, alignment  0/15, found:	16.9019
Length   10/2, alignment  0/15, fail:	14.8303
Length   10/2, alignment  3/ 0, found:	17.4182
Length   10/2, alignment  3/ 0, fail:	14.8291
Length   10/2, alignment  3/ 3, found:	16.9006
Length   10/2, alignment  3/ 3, fail:	14.8303
Length   10/2, alignment  3/ 9, found:	16.9019
Length   10/2, alignment  3/ 9, fail:	14.8303
Length   10/2, alignment  3/15, found:	16.9031
Length   10/2, alignment  3/15, fail:	14.8303
Length   10/2, alignment  9/ 0, found:	16.9031
Length   10/2, alignment  9/ 0, fail:	15.2039
Length   10/2, alignment  9/ 3, found:	16.9019
Length   10/2, alignment  9/ 3, fail:	15.238
Length   10/2, alignment  9/ 9, found:	16.9031
Length   10/2, alignment  9/ 9, fail:	15.2356
Length   10/2, alignment  9/15, found:	16.9031
Length   10/2, alignment  9/15, fail:	15.2417
Length   10/2, alignment 15/ 0, found:	17.3267
Length   10/2, alignment 15/ 0, fail:	15.238
Length   10/2, alignment 15/ 3, found:	17.3608
Length   10/2, alignment 15/ 3, fail:	15.238
Length   10/2, alignment 15/ 9, found:	17.334
Length   10/2, alignment 15/ 9, fail:	15.2368
Length   10/2, alignment 15/15, found:	17.3413
Length   10/2, alignment 15/15, fail:	15.2405
Length   12/2, alignment  0/ 0, found:	16.9043
Length   12/2, alignment  0/ 0, fail:	14.8315
Length   12/2, alignment  0/ 3, found:	16.9019
Length   12/2, alignment  0/ 3, fail:	14.8291
Length   12/2, alignment  0/ 9, found:	16.9031
Length   12/2, alignment  0/ 9, fail:	14.8315
Length   12/2, alignment  0/15, found:	17.2278
Length   12/2, alignment  0/15, fail:	14.8291
Length   12/2, alignment  3/ 0, found:	16.9043
Length   12/2, alignment  3/ 0, fail:	14.8315
Length   12/2, alignment  3/ 3, found:	16.9031
Length   12/2, alignment  3/ 3, fail:	14.8315
Length   12/2, alignment  3/ 9, found:	16.9006
Length   12/2, alignment  3/ 9, fail:	14.8315
Length   12/2, alignment  3/15, found:	16.9031
Length   12/2, alignment  3/15, fail:	14.8315
Length   12/2, alignment  9/ 0, found:	16.9006
Length   12/2, alignment  9/ 0, fail:	15.238
Length   12/2, alignment  9/ 3, found:	16.9019
Length   12/2, alignment  9/ 3, fail:	15.2405
Length   12/2, alignment  9/ 9, found:	16.9006
Length   12/2, alignment  9/ 9, fail:	15.238
Length   12/2, alignment  9/15, found:	16.9031
Length   12/2, alignment  9/15, fail:	15.2417
Length   12/2, alignment 15/ 0, found:	17.3669
Length   12/2, alignment 15/ 0, fail:	15.2344
Length   12/2, alignment 15/ 3, found:	17.3376
Length   12/2, alignment 15/ 3, fail:	15.2344
Length   12/2, alignment 15/ 9, found:	17.3267
Length   12/2, alignment 15/ 9, fail:	15.2368
Length   12/2, alignment 15/15, found:	17.3486
Length   12/2, alignment 15/15, fail:	15.2441
Length   14/2, alignment  0/ 0, found:	16.9031
Length   14/2, alignment  0/ 0, fail:	14.8328
Length   14/2, alignment  0/ 3, found:	16.9006
Length   14/2, alignment  0/ 3, fail:	14.8328
Length   14/2, alignment  0/ 9, found:	17.3279
Length   14/2, alignment  0/ 9, fail:	14.8291
Length   14/2, alignment  0/15, found:	16.9031
Length   14/2, alignment  0/15, fail:	14.8291
Length   14/2, alignment  3/ 0, found:	16.9019
Length   14/2, alignment  3/ 0, fail:	15.2393
Length   14/2, alignment  3/ 3, found:	16.9019
Length   14/2, alignment  3/ 3, fail:	15.2393
Length   14/2, alignment  3/ 9, found:	16.9031
Length   14/2, alignment  3/ 9, fail:	15.238
Length   14/2, alignment  3/15, found:	16.9019
Length   14/2, alignment  3/15, fail:	15.2393
Length   14/2, alignment  9/ 0, found:	17.3108
Length   14/2, alignment  9/ 0, fail:	15.238
Length   14/2, alignment  9/ 3, found:	17.3511
Length   14/2, alignment  9/ 3, fail:	15.2393
