                       	__strcpy_chk	normal_strcpy
Length    0, alignment  0/ 0:	4.05506	2.24128
Length    0, alignment  0/ 0:	4.11564	2.16246
Length    0, alignment  0/ 0:	4.19392	2.16231
Length    0, alignment  0/ 0:	4.2117	2.16223
Length    1, alignment  0/ 0:	4.10503	2.48634
Length    1, alignment  0/ 0:	4.12502	2.50022
Length    1, alignment  0/ 1:	4.05445	2.54745
Length    1, alignment  1/ 0:	4.05422	2.50365
Length    2, alignment  0/ 0:	4.12747	2.43278
Length    2, alignment  0/ 0:	4.17035	2.43255
Length    2, alignment  0/ 2:	4.17194	2.43255
Length    2, alignment  2/ 0:	4.17859	2.43247
Length    3, alignment  0/ 0:	4.11892	2.49779
Length    3, alignment  0/ 0:	4.09969	2.50274
Length    3, alignment  0/ 3:	4.06658	2.48161
Length    3, alignment  3/ 0:	4.12563	2.48657
Length    4, alignment  0/ 0:	4.11839	2.43262
Length    4, alignment  0/ 0:	4.17172	2.43247
Length    4, alignment  0/ 4:	4.16882	2.4327
Length    4, alignment  4/ 0:	4.11137	2.43278
Length    5, alignment  0/ 0:	4.11419	2.49107
Length    5, alignment  0/ 0:	4.05422	2.27683
Length    5, alignment  0/ 5:	4.05437	2.20297
Length    5, alignment  5/ 0:	4.11176	2.16246
Length    6, alignment  0/ 0:	4.16813	2.16223
Length    6, alignment  0/ 0:	4.17447	2.16223
Length    6, alignment  0/ 6:	4.1013	2.23335
Length    6, alignment  6/ 0:	4.05445	2.27492
Length    7, alignment  0/ 0:	3.78429	2.22182
Length    7, alignment  0/ 0:	3.84052	2.16246
Length    7, alignment  0/ 7:	3.90347	2.16231
Length    7, alignment  7/ 0:	3.82541	2.22923
Length    8, alignment  0/ 0:	3.78406	2.55492
Length    8, alignment  0/ 0:	3.78429	2.47512
Length    8, alignment  0/ 0:	3.8367	2.4327
Length    8, alignment  0/ 0:	3.89721	2.43247
Length    9, alignment  0/ 0:	3.88058	2.43339
Length    9, alignment  0/ 0:	3.82594	2.50495
Length    9, alignment  0/ 1:	3.78398	2.2061
Length    9, alignment  1/ 0:	3.82716	2.16322
Length   10, alignment  0/ 0:	3.89576	2.16231
Length   10, alignment  0/ 0:	3.88591	2.16231
Length   10, alignment  0/ 2:	3.82419	2.22609
Length   10, alignment  2/ 0:	3.78391	2.2061
Length   11, alignment  0/ 0:	3.8438	2.16246
Length   11, alignment  0/ 0:	3.8911	2.16307
Length   11, alignment  0/ 3:	3.87859	2.16223
Length   11, alignment  3/ 0:	3.82389	2.23303
Length   12, alignment  0/ 0:	3.78398	2.20305
Length   12, alignment  0/ 0:	3.84724	2.16246
Length   12, alignment  0/ 4:	3.894	2.16224
