                       	__strcpy_chk	normal_strcpy
Length    0, alignment  0/ 0:	3.56323	2.41425
Length    0, alignment  0/ 0:	3.56758	2.41402
Length    0, alignment  0/ 0:	3.56667	2.41402
Length    0, alignment  0/ 0:	3.56468	2.41394
Length    1, alignment  0/ 0:	3.56453	2.24792
Length    1, alignment  0/ 0:	3.56758	2.06917
Length    1, alignment  0/ 1:	3.56346	2.06924
Length    1, alignment  1/ 0:	3.56529	2.06917
Length    2, alignment  0/ 0:	3.56361	2.06909
Length    2, alignment  0/ 0:	3.56255	2.06909
Length    2, alignment  0/ 2:	3.5955	2.06924
Length    2, alignment  2/ 0:	3.56529	2.06917
Length    3, alignment  0/ 0:	3.3741	1.7868
Length    3, alignment  0/ 0:	3.37364	1.7868
Length    3, alignment  0/ 3:	3.37357	1.78619
Length    3, alignment  3/ 0:	3.37357	1.78711
Length    4, alignment  0/ 0:	3.40126	1.78658
Length    4, alignment  0/ 0:	3.37395	1.78696
Length    4, alignment  0/ 4:	3.3728	1.78688
Length    4, alignment  4/ 0:	3.37509	1.7868
Length    5, alignment  0/ 0:	3.37341	1.78673
Length    5, alignment  0/ 0:	3.37318	1.81145
Length    5, alignment  0/ 5:	3.37395	1.7868
Length    5, alignment  5/ 0:	3.37524	1.78642
Length    6, alignment  0/ 0:	3.37357	1.78703
Length    6, alignment  0/ 0:	3.37448	1.7868
Length    6, alignment  0/ 6:	3.37326	1.78635
Length    6, alignment  6/ 0:	3.37624	1.80763
Length    7, alignment  0/ 0:	3.16902	1.78703
Length    7, alignment  0/ 0:	3.16788	1.78658
Length    7, alignment  0/ 7:	3.16818	1.7868
Length    7, alignment  7/ 0:	3.16963	1.78642
Length    8, alignment  0/ 0:	3.16902	1.73492
Length    8, alignment  0/ 0:	3.16879	1.73363
Length    8, alignment  0/ 0:	3.19633	1.73523
Length    8, alignment  0/ 0:	3.16925	1.73515
Length    9, alignment  0/ 0:	3.16917	1.73515
Length    9, alignment  0/ 0:	3.16948	1.73485
Length    9, alignment  0/ 1:	3.16841	1.73561
Length    9, alignment  1/ 0:	3.17017	1.73401
Length   10, alignment  0/ 0:	3.19534	1.73508
Length   10, alignment  0/ 0:	3.1694	1.73325
Length   10, alignment  0/ 2:	3.16818	1.7337
Length   10, alignment  2/ 0:	3.16963	1.73386
Length   11, alignment  0/ 0:	3.16757	1.73477
Length   11, alignment  0/ 0:	3.17024	1.73363
Length   11, alignment  0/ 3:	3.19252	1.735
Length   11, alignment  3/ 0:	3.16948	1.73508
Length   12, alignment  0/ 0:	3.16864	1.73393
Length   12, alignment  0/ 0:	3.16978	1.7337
Length   12, alignment  0/ 4:	3.16864	1.73386
Length   12, alignment  4/ 0:	3.6293	2.08397
Length   13, alignment  0/ 0:	3.21129	1.73355
Length   13, alignment  0/ 0:	3.1694	1.735
Length   13, alignment  0/ 5:	3.16971	1.73386
Length   13, alignment  5/ 0:	3.62976	2.08359
Length   14, alignment  0/ 0:	3.1694	1.735
Length   14, alignment  0/ 0:	3.16994	1.73378
Length   14, alignment  0/ 6:	3.19717	1.73409
Length   14, alignment  6/ 0:	3.62892	2.08336
Length   15, alignment  0/ 0:	3.14301	1.73485
Length   15, alignment  0/ 0:	3.1411	1.73515
Length   15, alignment  0/ 7:	3.10448	1.73416
Length   15, alignment  7/ 0:	3.44902	2.08145
Length   16, alignment  0/ 0:	3.49503	2.0005
Length   16, alignment  7/ 2:	3.44856	2.0005
Length   32, alignment  0/ 0:	4.33937	2.93709
Length   32, alignment  6/ 4:	4.36218	2.93449
Length   64, alignment  0/ 0:	5.17342	3.54607
Length   64, alignment  5/ 6:	5.17288	3.50754
Length  128, alignment  0/ 0:	6.3797	4.93126
Length  128, alignment  4/ 0:	6.39893	4.98161
Length  256, alignment  0/ 0:	10.1028	8.53271
Length  256, alignment  3/ 2:	10.1425	8.52219
