                       	strtok
Length    4/2, alignment  0/ 0, found:	33.291
Length    4/2, alignment  0/ 0, fail:	33.2324
Length    4/2, alignment  0/ 3, found:	33.2031
Length    4/2, alignment  0/ 3, fail:	33.2324
Length    4/2, alignment  0/ 9, found:	33.1934
Length    4/2, alignment  0/ 9, fail:	33.2129
Length    4/2, alignment  0/15, found:	33.2031
Length    4/2, alignment  0/15, fail:	33.208
Length    4/2, alignment  3/ 0, found:	33.1982
Length    4/2, alignment  3/ 0, fail:	33.1934
Length    4/2, alignment  3/ 3, found:	33.208
Length    4/2, alignment  3/ 3, fail:	33.2031
Length    4/2, alignment  3/ 9, found:	33.2178
Length    4/2, alignment  3/ 9, fail:	33.1836
Length    4/2, alignment  3/15, found:	33.1982
Length    4/2, alignment  3/15, fail:	33.4717
Length    4/2, alignment  9/ 0, found:	33.4619
Length    4/2, alignment  9/ 0, fail:	33.4619
Length    4/2, alignment  9/ 3, found:	33.252
Length    4/2, alignment  9/ 3, fail:	33.1982
Length    4/2, alignment  9/ 9, found:	33.208
Length    4/2, alignment  9/ 9, fail:	33.2178
Length    4/2, alignment  9/15, found:	33.2129
Length    4/2, alignment  9/15, fail:	33.208
Length    4/2, alignment 15/ 0, found:	33.4082
Length    4/2, alignment 15/ 0, fail:	33.3691
Length    4/2, alignment 15/ 3, found:	33.3447
Length    4/2, alignment 15/ 3, fail:	33.4033
Length    4/2, alignment 15/ 9, found:	33.4473
Length    4/2, alignment 15/ 9, fail:	33.3789
Length    4/2, alignment 15/15, found:	33.3887
Length    4/2, alignment 15/15, fail:	33.3887
Length    6/2, alignment  0/ 0, found:	33.2422
Length    6/2, alignment  0/ 0, fail:	33.1982
Length    6/2, alignment  0/ 3, found:	33.2373
Length    6/2, alignment  0/ 3, fail:	33.1982
Length    6/2, alignment  0/ 9, found:	37.4121
Length    6/2, alignment  0/ 9, fail:	33.4717
Length    6/2, alignment  0/15, found:	33.4863
Length    6/2, alignment  0/15, fail:	33.4619
Length    6/2, alignment  3/ 0, found:	33.2715
Length    6/2, alignment  3/ 0, fail:	33.2178
Length    6/2, alignment  3/ 3, found:	33.2129
Length    6/2, alignment  3/ 3, fail:	33.2129
Length    6/2, alignment  3/ 9, found:	33.2275
Length    6/2, alignment  3/ 9, fail:	33.1982
Length    6/2, alignment  3/15, found:	33.3105
Length    6/2, alignment  3/15, fail:	33.4668
Length    6/2, alignment  9/ 0, found:	33.4814
Length    6/2, alignment  9/ 0, fail:	33.4814
Length    6/2, alignment  9/ 3, found:	33.4814
Length    6/2, alignment  9/ 3, fail:	33.4668
Length    6/2, alignment  9/ 9, found:	33.4814
Length    6/2, alignment  9/ 9, fail:	33.2227
Length    6/2, alignment  9/15, found:	33.2227
Length    6/2, alignment  9/15, fail:	33.2129
Length    6/2, alignment 15/ 0, found:	33.8672
Length    6/2, alignment 15/ 0, fail:	33.4717
Length    6/2, alignment 15/ 3, found:	33.8428
Length    6/2, alignment 15/ 3, fail:	33.418
Length    6/2, alignment 15/ 9, found:	33.8184
Length    6/2, alignment 15/ 9, fail:	33.4424
Length    6/2, alignment 15/15, found:	33.833
Length    6/2, alignment 15/15, fail:	33.3398
Length    8/2, alignment  0/ 0, found:	33.2227
Length    8/2, alignment  0/ 0, fail:	33.1934
Length    8/2, alignment  0/ 3, found:	33.2129
Length    8/2, alignment  0/ 3, fail:	33.1934
Length    8/2, alignment  0/ 9, found:	33.2471
Length    8/2, alignment  0/ 9, fail:	33.2129
Length    8/2, alignment  0/15, found:	33.2275
Length    8/2, alignment  0/15, fail:	33.2227
Length    8/2, alignment  3/ 0, found:	33.2129
Length    8/2, alignment  3/ 0, fail:	33.208
Length    8/2, alignment  3/ 3, found:	33.2275
Length    8/2, alignment  3/ 3, fail:	33.208
Length    8/2, alignment  3/ 9, found:	33.2324
Length    8/2, alignment  3/ 9, fail:	33.2227
Length    8/2, alignment  3/15, found:	33.2129
Length    8/2, alignment  3/15, fail:	33.2031
Length    8/2, alignment  9/ 0, found:	33.2373
Length    8/2, alignment  9/ 0, fail:	33.8379
Length    8/2, alignment  9/ 3, found:	33.2178
Length    8/2, alignment  9/ 3, fail:	33.8281
Length    8/2, alignment  9/ 9, found:	33.2324
Length    8/2, alignment  9/ 9, fail:	33.8184
Length    8/2, alignment  9/15, found:	33.2227
Length    8/2, alignment  9/15, fail:	33.833
Length    8/2, alignment 15/ 0, found:	33.8184
