                            	generic_memccpy	memccpy
Length   16, n   16, char 12, alignment  1/ 1:	6.00865	4.99943
Length   16, n   16, char 23, alignment  1/ 1:	5.97832	4.89762
Length   16, n   16, char 28, alignment  1/ 2:	5.9885	4.90008
Length   16, n   16, char 31, alignment  2/ 1:	5.98512	4.89574
Length    2, n    4, char 1, alignment  7/ 2:	5.71091	4.61834
Length    4, n    2, char 17, alignment  2/ 7:	6.53713	5.97801
Length    2, n    4, char 0, alignment  7/ 2:	5.71137	4.61842
Length    4, n    2, char 1, alignment  2/ 7:	7.08552	5.97761
Length   16, n   16, char 12, alignment  2/ 2:	6.25146	5.1759
Length   16, n   16, char 23, alignment  2/ 2:	6.25817	5.16539
Length   16, n   16, char 28, alignment  2/ 4:	6.27133	5.17714
Length   16, n   16, char 31, alignment  4/ 2:	6.24541	5.16398
Length    4, n    8, char 1, alignment  6/ 4:	5.97865	4.89913
Length    8, n    4, char 17, alignment  4/ 6:	7.33776	6.24781
Length    4, n    8, char 0, alignment  6/ 4:	5.97849	4.89888
Length    8, n    4, char 2, alignment  4/ 6:	7.33025	6.25492
Length   16, n   16, char 12, alignment  3/ 3:	6.24741	5.16331
Length   16, n   16, char 23, alignment  3/ 3:	6.24818	5.16784
Length   16, n   16, char 28, alignment  3/ 6:	6.25226	5.16862
Length   16, n   16, char 31, alignment  6/ 3:	6.2502	5.16382
Length    8, n   16, char 1, alignment  5/ 6:	5.98682	4.89827
Length   16, n    8, char 17, alignment  6/ 5:	6.81379	5.70533
Length    8, n   16, char 0, alignment  5/ 6:	5.16967	4.90451
Length   16, n    8, char 3, alignment  6/ 5:	6.54159	5.71062
Length   16, n   16, char 12, alignment  4/ 4:	5.43821	5.16191
Length   16, n   16, char 23, alignment  4/ 4:	5.437	5.16908
Length   16, n   16, char 28, alignment  4/ 0:	5.4374	5.15861
Length   16, n   16, char 31, alignment  0/ 4:	5.4357	5.16499
Length   16, n   32, char 1, alignment  4/ 0:	5.43761	5.16589
Length   32, n   16, char 17, alignment  0/ 4:	7.06527	5.97612
Length   16, n   32, char 0, alignment  4/ 0:	5.43626	5.1656
Length   32, n   16, char 4, alignment  0/ 4:	7.06812	5.98776
Length   16, n   16, char 12, alignment  5/ 5:	5.43689	5.16115
Length   16, n   16, char 23, alignment  5/ 5:	5.44619	5.17028
Length   16, n   16, char 28, alignment  5/ 2:	5.4404	5.16014
Length   16, n   16, char 31, alignment  2/ 5:	5.45592	5.16503
Length   32, n   64, char 1, alignment  3/ 2:	5.16619	4.8975
Length   64, n   32, char 17, alignment  2/ 3:	6.81585	5.70739
Length   32, n   64, char 0, alignment  3/ 2:	5.1685	4.89211
Length   64, n   32, char 5, alignment  2/ 3:	6.80774	5.98082
Length   16, n   16, char 12, alignment  6/ 6:	5.43607	5.15886
Length   16, n   16, char 23, alignment  6/ 6:	5.43551	5.1639
Length   16, n   16, char 28, alignment  6/ 4:	5.43867	5.18528
Length   16, n   16, char 31, alignment  4/ 6:	5.43303	5.16356
Length   64, n  128, char 1, alignment  2/ 4:	5.70592	5.43677
Length  128, n   64, char 17, alignment  4/ 2:	6.79992	5.70663
Length   64, n  128, char 0, alignment  2/ 4:	5.70753	5.44174
Length  128, n   64, char 6, alignment  4/ 2:	6.8009	5.71568
Length   16, n   16, char 12, alignment  7/ 7:	5.7073	5.44006
Length   16, n   16, char 23, alignment  7/ 7:	5.71857	5.45198
Length   16, n   16, char 28, alignment  7/ 6:	5.71104	5.43983
Length   16, n   16, char 31, alignment  6/ 7:	5.7248	5.43618
Length  128, n  256, char 1, alignment  1/ 6:	5.97849	5.71309
Length  256, n  128, char 17, alignment  6/ 1:	7.07646	5.97714
Length  128, n  256, char 0, alignment  1/ 6:	5.97748	5.70762
Length  256, n  128, char 7, alignment  6/ 1:	7.06573	5.97656
Length    8, n   16, char 1, alignment  0/ 0:	5.70671	5.44688
Length   32, n   16, char 1, alignment  0/ 0:	7.33335	5.97585
Length    8, n   16, char 1, alignment  7/ 2:	5.70552	5.43523
Length   32, n   16, char 1, alignment  7/ 2:	7.33818	5.97685
Length   16, n   32, char 2, alignment  0/ 0:	5.71106	5.43882
Length   64, n   32, char 2, alignment  0/ 0:	7.07289	5.70753
Length   16, n   32, char 2, alignment  6/ 4:	5.71247	5.46615
Length   64, n   32, char 2, alignment  6/ 4:	7.06065	5.70554
Length   32, n   64, char 3, alignment  0/ 0:	5.43993	5.18367
Length  128, n   64, char 3, alignment  0/ 0:	6.79171	5.70865
Length   32, n   64, char 3, alignment  5/ 6:	5.43521	5.1668
Length  128, n   64, char 3, alignment  5/ 6:	6.79469	5.70594
Length   64, n  128, char 4, alignment  0/ 0:	5.70682	5.42814
Length  256, n  128, char 4, alignment  0/ 0:	7.33323	6.25589
Length   64, n  128, char 4, alignment  4/ 0:	5.71181	5.43097
Length  256, n  128, char 4, alignment  4/ 0:	7.3357	6.25205
Length  128, n  256, char 5, alignment  0/ 0:	6.24569	5.98493
Length  512, n  256, char 5, alignment  0/ 0:	8.69814	7.61409
Length  128, n  256, char 5, alignment  3/ 2:	6.25228	5.97639
Length  512, n  256, char 5, alignment  3/ 2:	8.98735	7.88643
Length  256, n  512, char 6, alignment  0/ 0:	7.33803	7.07024
Length 1024, n  512, char 6, alignment  0/ 0:	9.79705	8.69111
Length  256, n  512, char 6, alignment  2/ 4:	7.88678	7.63381
Length 1024, n  512, char 6, alignment  2/ 4:	10.2778	10.1583
Length  512, n 1024, char 7, alignment  0/ 0:	8.96446	8.95105
Length 2048, n 1024, char 7, alignment  0/ 0:	14.6285	14.6357
Length  512, n 1024, char 7, alignment  1/ 6:	10.8036	11.0227
Length 2048, n 1024, char 7, alignment  1/ 6:	16.6116	16.7069
