                       	__stpcpy_chk	normal_stpcpy
Length    0, alignment  0/ 0:	4.65244	2.71296
Length    0, alignment  0/ 0:	4.91407	2.70762
Length    0, alignment  0/ 0:	4.91062	2.707
Length    0, alignment  0/ 0:	4.91169	2.70678
Length    1, alignment  0/ 0:	4.92606	2.707
Length    1, alignment  0/ 0:	4.93584	2.7067
Length    1, alignment  0/ 1:	4.90902	2.7067
Length    1, alignment  1/ 0:	4.90749	2.70678
Length    2, alignment  0/ 0:	4.93577	2.70685
Length    2, alignment  0/ 0:	4.91299	2.70845
Length    2, alignment  0/ 2:	4.91566	2.70677
Length    2, alignment  2/ 0:	4.91705	2.70685
Length    3, alignment  0/ 0:	4.91047	2.43659
Length    3, alignment  0/ 0:	4.92628	2.43629
Length    3, alignment  0/ 3:	4.92767	2.43613
Length    3, alignment  3/ 0:	4.90734	2.43613
Length    4, alignment  0/ 0:	4.90512	2.43613
Length    4, alignment  0/ 0:	4.87234	2.47594
Length    4, alignment  0/ 4:	4.87227	2.47678
Length    4, alignment  4/ 0:	4.87219	2.47136
Length    5, alignment  0/ 0:	4.87227	2.47082
Length    5, alignment  0/ 0:	4.87219	2.47121
Length    5, alignment  0/ 5:	4.87227	2.47258
Length    5, alignment  5/ 0:	4.87227	2.46693
Length    6, alignment  0/ 0:	4.87227	2.50887
Length    6, alignment  0/ 0:	4.87227	2.49581
Length    6, alignment  0/ 6:	4.87227	2.46938
Length    6, alignment  6/ 0:	4.87219	2.47839
Length    7, alignment  0/ 0:	4.60185	2.43606
Length    7, alignment  0/ 0:	4.63273	2.43613
Length    7, alignment  0/ 7:	4.63043	2.43606
Length    7, alignment  7/ 0:	4.63448	2.43613
Length    8, alignment  0/ 0:	4.63647	2.70685
Length    8, alignment  0/ 0:	4.64159	2.70692
Length    8, alignment  0/ 0:	4.6555	2.70831
Length    8, alignment  0/ 0:	4.6597	2.70685
Length    9, alignment  0/ 0:	4.64105	2.70677
Length    9, alignment  0/ 0:	4.68384	2.70678
Length    9, alignment  0/ 1:	4.63067	2.70678
Length    9, alignment  1/ 0:	4.6348	2.70678
Length   10, alignment  0/ 0:	4.64435	2.70677
Length   10, alignment  0/ 0:	4.6357	2.7067
Length   10, alignment  0/ 2:	4.63288	2.7067
Length   10, alignment  2/ 0:	4.63258	2.70686
Length   11, alignment  0/ 0:	4.6017	2.73718
Length   11, alignment  0/ 0:	4.60178	2.73695
Length   11, alignment  0/ 3:	4.60171	2.73573
Length   11, alignment  3/ 0:	4.60171	2.73802
Length   12, alignment  0/ 0:	4.60171	2.74032
Length   12, alignment  0/ 0:	4.6017	2.73528
Length   12, alignment  0/ 4:	4.60316	2.7355
Length   12, alignment  4/ 0:	4.6017	2.7368
Length   13, alignment  0/ 0:	4.60171	2.741
Length   13, alignment  0/ 0:	4.60163	2.74001
Length   13, alignment  0/ 5:	4.60171	2.73573
Length   13, alignment  5/ 0:	4.60178	2.70677
Length   14, alignment  0/ 0:	4.63151	2.70677
Length   14, alignment  0/ 0:	4.63647	2.7067
Length   14, alignment  0/ 6:	4.6325	2.70975
Length   14, alignment  6/ 0:	4.63074	2.70677
Length   15, alignment  0/ 0:	4.90436	2.7067
Length   15, alignment  0/ 0:	4.90298	2.70692
Length   15, alignment  0/ 7:	4.90421	2.707
Length   15, alignment  7/ 0:	4.90565	2.707
Length   16, alignment  0/ 0:	4.98902	2.70692
Length   16, alignment  7/ 2:	4.91269	2.70708
Length   32, alignment  0/ 0:	4.92965	2.70693
Length   32, alignment  6/ 4:	4.92262	2.70685
Length   64, alignment  0/ 0:	4.92117	2.97787
Length   64, alignment  5/ 6:	5.0704	3.00797
Length  128, alignment  0/ 0:	6.8145	3.2868
Length  128, alignment  4/ 0:	7.16781	3.25439
Length  256, alignment  0/ 0:	10.6237	4.86425
Length  256, alignment  3/ 2:	11.5364	4.98451
Length  512, alignment  0/ 0:	12.1684	8.30843
Length  512, alignment  2/ 4:	14.0345	8.52917
Length 1024, alignment  0/ 0:	19.2171	12.5045
Length 1024, alignment  1/ 6:	22.2998	12.9946
Length   16, alignment  1/ 2:	5.44328	2.70753
Length   16, alignment  2/ 1:	5.45595	2.75437
Length   16, alignment  1/ 1:	5.45198	2.70708
Length   16, alignment  1/ 1:	5.45359	2.7067
Length   32, alignment  2/ 4:	5.72048	2.70746
Length   32, alignment  4/ 2:	5.72117	2.70692
Length   32, alignment  2/ 2:	5.71444	2.74543
Length   32, alignment  2/ 2:	5.68434	2.76179
Length   64, alignment  3/ 6:	5.46008	3.00881
Length   64, alignment  6/ 3:	5.41408	3.0089
Length   64, alignment  3/ 3:	5.45786	2.9778
Length   64, alignment  3/ 3:	5.45542	2.97764
Length  128, alignment  4/ 0:	7.08965	3.24866
Length  128, alignment  0/ 4:	6.75024	3.28259
Length  128, alignment  4/ 4:	7.31146	3.24828
Length  128, alignment  4/ 4:	7.41499	3.31789
Length  256, alignment  5/ 2:	11.2381	5.1057
Length  256, alignment  2/ 5:	11.2772	5.15284
Length  256, alignment  5/ 5:	11.2822	4.94547
Length  256, alignment  5/ 5:	11.591	4.8793
Length  512, alignment  6/ 4:	13.6699	8.65259
Length  512, alignment  4/ 6:	14.1271	8.39539
Length  512, alignment  6/ 6:	13.4471	8.26588
Length  512, alignment  6/ 6:	14.0288	8.62125
Length 1024, alignment  7/ 6:	20.8792	12.7263
Length 1024, alignment  6/ 7:	21.9044	12.7653
Length 1024, alignment  7/ 7:	20.0369	11.8582
Length 1024, alignment  7/ 7:	20.3212	11.989
Length    0, alignment  0/ 0:	5.44289	3.54742
Length    0, alignment  0/ 0:	5.41378	3.55215
Length    0, alignment  0/ 0:	5.41362	3.55338
Length    0, alignment  0/ 0:	5.4422	3.52511
Length    1, alignment  0/ 0:	5.44449	3.24859
Length    1, alignment  0/ 0:	5.4516	3.25111
Length    1, alignment  0/ 1:	5.44418	3.27754
Length    1, alignment  1/ 0:	5.42004	3.27915
Length    2, alignment  0/ 0:	5.41362	3.27686
Length    2, alignment  0/ 0:	5.44327	3.24812
Length    2, alignment  0/ 2:	5.17255	3.24805
Length    2, alignment  2/ 0:	5.17461	3.24805
Length    3, alignment  0/ 0:	5.17439	2.97756
Length    3, alignment  0/ 0:	5.17202	2.9778
Length    3, alignment  0/ 3:	5.18157	2.97756
Length    3, alignment  3/ 0:	5.17271	3.00775
Length    4, alignment  0/ 0:	5.14298	2.73589
Length    4, alignment  0/ 0:	5.14505	2.74368
Length    4, alignment  0/ 4:	5.14291	2.75124
Length    4, alignment  4/ 0:	5.14291	2.74039
Length    5, alignment  0/ 0:	5.14291	2.7368
Length    5, alignment  0/ 0:	5.14283	2.73811
Length    5, alignment  0/ 5:	5.14283	2.73848
Length    5, alignment  5/ 0:	5.14283	2.73573
Length    6, alignment  0/ 0:	5.18103	2.70685
Length    6, alignment  0/ 0:	5.17233	2.70677
Length    6, alignment  0/ 6:	5.17431	2.70701
Length    6, alignment  6/ 0:	5.17775	2.70685
Length    7, alignment  0/ 0:	5.17667	2.70837
Length    7, alignment  0/ 0:	5.17928	2.70677
Length    7, alignment  0/ 7:	5.18241	2.70685
Length    7, alignment  7/ 0:	5.17187	2.70677
Length    8, alignment  0/ 0:	5.18096	2.97779
Length    8, alignment  0/ 0:	5.19708	2.97765
Length    8, alignment  0/ 0:	5.17278	2.97742
Length    8, alignment  0/ 0:	5.17363	2.97741
Length    9, alignment  0/ 0:	5.17141	3.00829
Length    9, alignment  0/ 0:	5.14299	2.74261
Length    9, alignment  0/ 1:	5.14298	2.76775
Length    9, alignment  1/ 0:	5.14299	2.74215
Length   10, alignment  0/ 0:	5.14298	2.74268
Length   10, alignment  0/ 0:	5.14291	2.73826
Length   10, alignment  0/ 2:	5.14298	2.77654
Length   10, alignment  2/ 0:	5.14291	2.76553
Length   11, alignment  0/ 0:	5.17362	2.70692
Length   11, alignment  0/ 0:	5.17928	2.70685
Length   11, alignment  0/ 3:	5.18493	2.707
Length   11, alignment  3/ 0:	5.17545	2.70677
Length   12, alignment  0/ 0:	5.18509	2.70692
Length   12, alignment  0/ 0:	5.18906	2.70686
Length   12, alignment  0/ 4:	5.17508	2.70685
Length   12, alignment  4/ 0:	5.18287	2.70831
