                       	strsep
Length    8/2, alignment  0/ 0, found:	24.3198
Length    8/2, alignment  0/ 0, fail:	4.88403
Length    8/2, alignment  0/ 3, found:	26.9985
Length    8/2, alignment  0/ 3, fail:	4.60889
Length    8/2, alignment  0/ 9, found:	24.8517
Length    8/2, alignment  0/ 9, fail:	4.60779
Length    8/2, alignment  0/15, found:	24.6793
Length    8/2, alignment  0/15, fail:	5.41943
Length    8/2, alignment  3/ 0, found:	23.8186
Length    8/2, alignment  3/ 0, fail:	4.33997
Length    8/2, alignment  3/ 3, found:	24.5375
Length    8/2, alignment  3/ 3, fail:	4.60901
Length    8/2, alignment  3/ 9, found:	23.8187
Length    8/2, alignment  3/ 9, fail:	4.60779
Length    8/2, alignment  3/15, found:	24.8994
Length    8/2, alignment  3/15, fail:	4.88159
Length    8/2, alignment  9/ 0, found:	23.8151
Length    8/2, alignment  9/ 0, fail:	5.14929
Length    8/2, alignment  9/ 3, found:	24.535
Length    8/2, alignment  9/ 3, fail:	5.422
Length    8/2, alignment  9/ 9, found:	26.7943
Length    8/2, alignment  9/ 9, fail:	5.41943
Length    8/2, alignment  9/15, found:	23.8162
Length    8/2, alignment  9/15, fail:	5.69336
Length    8/2, alignment 15/ 0, found:	25.1708
Length    8/2, alignment 15/ 0, fail:	5.15051
Length    8/2, alignment 15/ 3, found:	31.6428
Length    8/2, alignment 15/ 3, fail:	5.42065
Length    8/2, alignment 15/ 9, found:	23.2783
Length    8/2, alignment 15/ 9, fail:	5.41589
Length    8/2, alignment 15/15, found:	23.821
Length    8/2, alignment 15/15, fail:	5.69214
Length   10/2, alignment  0/ 0, found:	25.1708
Length   10/2, alignment  0/ 0, fail:	5.47571
Length   10/2, alignment  0/ 3, found:	23.8174
Length   10/2, alignment  0/ 3, fail:	4.88037
Length   10/2, alignment  0/ 9, found:	23.8151
Length   10/2, alignment  0/ 9, fail:	4.87793
Length   10/2, alignment  0/15, found:	24.8994
Length   10/2, alignment  0/15, fail:	5.422
Length   10/2, alignment  3/ 0, found:	23.5474
Length   10/2, alignment  3/ 0, fail:	5.04785
Length   10/2, alignment  3/ 3, found:	25.6219
Length   10/2, alignment  3/ 3, fail:	4.88403
Length   10/2, alignment  3/ 9, found:	25.639
Length   10/2, alignment  3/ 9, fail:	4.87793
Length   10/2, alignment  3/15, found:	24.3555
Length   10/2, alignment  3/15, fail:	5.15295
Length   10/2, alignment  9/ 0, found:	22.601
Length   10/2, alignment  9/ 0, fail:	5.57471
Length   10/2, alignment  9/ 3, found:	25.6305
Length   10/2, alignment  9/ 3, fail:	5.42078
Length   10/2, alignment  9/ 9, found:	25.6268
Length   10/2, alignment  9/ 9, fail:	5.42078
Length   10/2, alignment  9/15, found:	24.3553
Length   10/2, alignment  9/15, fail:	5.69214
Length   10/2, alignment 15/ 0, found:	24.8994
Length   10/2, alignment 15/ 0, fail:	5.61389
Length   10/2, alignment 15/ 3, found:	23.2783
Length   10/2, alignment 15/ 3, fail:	5.41577
Length   10/2, alignment 15/ 9, found:	23.2821
Length   10/2, alignment 15/ 9, fail:	5.52466
Length   10/2, alignment 15/15, found:	23.8163
Length   10/2, alignment 15/15, fail:	5.68848
Length   12/2, alignment  0/ 0, found:	24.0889
Length   12/2, alignment  0/ 0, fail:	5.53809
Length   12/2, alignment  0/ 3, found:	23.8175
Length   12/2, alignment  0/ 3, fail:	4.87915
Length   12/2, alignment  0/ 9, found:	23.8199
Length   12/2, alignment  0/ 9, fail:	4.87305
Length   12/2, alignment  0/15, found:	24.8787
Length   12/2, alignment  0/15, fail:	5.41956
Length   12/2, alignment  3/ 0, found:	22.6194
Length   12/2, alignment  3/ 0, fail:	4.61023
Length   12/2, alignment  3/ 3, found:	26.1305
Length   12/2, alignment  3/ 3, fail:	4.87793
Length   12/2, alignment  3/ 9, found:	27.3335
Length   12/2, alignment  3/ 9, fail:	5.15295
Length   12/2, alignment  3/15, found:	24.9019
Length   12/2, alignment  3/15, fail:	5.41833
Length   12/2, alignment  9/ 0, found:	25.2699
Length   12/2, alignment  9/ 0, fail:	6.1322
Length   12/2, alignment  9/ 3, found:	23.8198
Length   12/2, alignment  9/ 3, fail:	5.6958
Length   12/2, alignment  9/ 9, found:	24.2234
Length   12/2, alignment  9/ 9, fail:	5.6897
Length   12/2, alignment  9/15, found:	24.7565
Length   12/2, alignment  9/15, fail:	5.96472
Length   12/2, alignment 15/ 0, found:	25.1035
Length   12/2, alignment 15/ 0, fail:	5.42065
Length   12/2, alignment 15/ 3, found:	24.9055
Length   12/2, alignment 15/ 3, fail:	5.68481
Length   12/2, alignment 15/ 9, found:	24.9006
Length   12/2, alignment 15/ 9, fail:	5.68604
Length   12/2, alignment 15/15, found:	26.1476
Length   12/2, alignment 15/15, fail:	5.9635
Length   14/2, alignment  0/ 0, found:	24.3456
Length   14/2, alignment  0/ 0, fail:	5.15063
Length   14/2, alignment  0/ 3, found:	23.9531
Length   14/2, alignment  0/ 3, fail:	5.15173
Length   14/2, alignment  0/ 9, found:	24.0901
Length   14/2, alignment  0/ 9, fail:	5.14685
Length   14/2, alignment  0/15, found:	23.8199
Length   14/2, alignment  0/15, fail:	5.69214
Length   14/2, alignment  3/ 0, found:	24.2271
Length   14/2, alignment  3/ 0, fail:	5.42065
Length   14/2, alignment  3/ 3, found:	23.8163
Length   14/2, alignment  3/ 3, fail:	5.6897
Length   14/2, alignment  3/ 9, found:	24.2257
Length   14/2, alignment  3/ 9, fail:	5.68848
Length   14/2, alignment  3/15, found:	23.8174
Length   14/2, alignment  3/15, fail:	5.96106
Length   14/2, alignment  9/ 0, found:	26.7039
Length   14/2, alignment  9/ 0, fail:	5.41711
Length   14/2, alignment  9/ 3, found:	23.5485
Length   14/2, alignment  9/ 3, fail:	5.68604
Length   14/2, alignment  9/ 9, found:	23.5485
Length   14/2, alignment  9/ 9, fail:	5.68591
Length   14/2, alignment  9/15, found:	27.0632
Length   14/2, alignment  9/15, fail:	5.95984
Length   14/2, alignment 15/ 0, found:	24.2209
Length   14/2, alignment 15/ 0, fail:	5.41833
Length   14/2, alignment 15/ 3, found:	23.5485
Length   14/2, alignment 15/ 3, fail:	5.68604
Length   14/2, alignment 15/ 9, found:	23.5486
Length   14/2, alignment 15/ 9, fail:	5.68481
Length   14/2, alignment 15/15, found:	25.6573
Length   14/2, alignment 15/15, fail:	5.95862
Length   12/3, alignment  0/ 0, found:	24.9019
Length   12/3, alignment  0/ 0, fail:	5.15186
Length   12/3, alignment  0/ 3, found:	24.0876
Length   12/3, alignment  0/ 3, fail:	5.15063
Length   12/3, alignment  0/ 9, found:	24.0876
Length   12/3, alignment  0/ 9, fail:	5.14319
Length   12/3, alignment  0/15, found:	24.359
Length   12/3, alignment  0/15, fail:	5.6897
Length   12/3, alignment  3/ 0, found:	24.782
Length   12/3, alignment  3/ 0, fail:	4.87915
Length   12/3, alignment  3/ 3, found:	23.5486
Length   12/3, alignment  3/ 3, fail:	5.15295
Length   12/3, alignment  3/ 9, found:	23.595
Length   12/3, alignment  3/ 9, fail:	5.14685
Length   12/3, alignment  3/15, found:	24.0889
Length   12/3, alignment  3/15, fail:	5.41956
Length   12/3, alignment  9/ 0, found:	24.5681
Length   12/3, alignment  9/ 0, fail:	5.41711
Length   12/3, alignment  9/ 3, found:	24.452
Length   12/3, alignment  9/ 3, fail:	5.68848
Length   12/3, alignment  9/ 9, found:	24.4519
Length   12/3, alignment  9/ 9, fail:	5.68481
Length   12/3, alignment  9/15, found:	23.5472
Length   12/3, alignment  9/15, fail:	5.96228
Length   12/3, alignment 15/ 0, found:	25.6378
Length   12/3, alignment 15/ 0, fail:	5.41589
Length   12/3, alignment 15/ 3, found:	23.5497
Length   12/3, alignment 15/ 3, fail:	5.68604
Length   12/3, alignment 15/ 9, found:	23.5497
Length   12/3, alignment 15/ 9, fail:	5.68604
Length   12/3, alignment 15/15, found:	25.7136
Length   12/3, alignment 15/15, fail:	5.95862
Length   15/3, alignment  0/ 0, found:	24.5094
Length   15/3, alignment  0/ 0, fail:	5.14697
Length   15/3, alignment  0/ 3, found:	24.0889
Length   15/3, alignment  0/ 3, fail:	5.14697
Length   15/3, alignment  0/ 9, found:	24.0913
Length   15/3, alignment  0/ 9, fail:	5.14685
Length   15/3, alignment  0/15, found:	24.5656
Length   15/3, alignment  0/15, fail:	5.6897
Length   15/3, alignment  3/ 0, found:	25.8138
Length   15/3, alignment  3/ 0, fail:	5.41711
Length   15/3, alignment  3/ 3, found:	23.8175
Length   15/3, alignment  3/ 3, fail:	5.68848
Length   15/3, alignment  3/ 9, found:	23.546
Length   15/3, alignment  3/ 9, fail:	5.68726
Length   15/3, alignment  3/15, found:	23.5448
Length   15/3, alignment  3/15, fail:	5.95984
Length   15/3, alignment  9/ 0, found:	23.7856
Length   15/3, alignment  9/ 0, fail:	5.41711
Length   15/3, alignment  9/ 3, found:	24.9006
Length   15/3, alignment  9/ 3, fail:	5.68726
Length   15/3, alignment  9/ 9, found:	23.546
Length   15/3, alignment  9/ 9, fail:	5.68604
Length   15/3, alignment  9/15, found:	27.0646
Length   15/3, alignment  9/15, fail:	5.95874
Length   15/3, alignment 15/ 0, found:	24.2856
Length   15/3, alignment 15/ 0, fail:	5.41821
Length   15/3, alignment 15/ 3, found:	23.5486
Length   15/3, alignment 15/ 3, fail:	5.68604
Length   15/3, alignment 15/ 9, found:	23.5474
Length   15/3, alignment 15/ 9, fail:	5.68726
Length   15/3, alignment 15/15, found:	25.7136
Length   15/3, alignment 15/15, fail:	5.95862
Length   18/3, alignment  0/ 0, found:	25.5278
Length   18/3, alignment  0/ 0, fail:	5.69458
Length   18/3, alignment  0/ 3, found:	24.0876
Length   18/3, alignment  0/ 3, fail:	5.6958
Length   18/3, alignment  0/ 9, found:	23.8187
Length   18/3, alignment  0/ 9, fail:	5.68848
Length   18/3, alignment  0/15, found:	24.3555
Length   18/3, alignment  0/15, fail:	6.23364
Length   18/3, alignment  3/ 0, found:	24.1537
Length   18/3, alignment  3/ 0, fail:	5.41956
Length   18/3, alignment  3/ 3, found:	24.6305
Length   18/3, alignment  3/ 3, fail:	5.68481
Length   18/3, alignment  3/ 9, found:	23.5486
Length   18/3, alignment  3/ 9, fail:	5.68726
Length   18/3, alignment  3/15, found:	23.8151
Length   18/3, alignment  3/15, fail:	5.95618
Length   18/3, alignment  9/ 0, found:	23.7123
Length   18/3, alignment  9/ 0, fail:	5.41467
Length   18/3, alignment  9/ 3, found:	24.2246
Length   18/3, alignment  9/ 3, fail:	5.68604
Length   18/3, alignment  9/ 9, found:	23.5486
Length   18/3, alignment  9/ 9, fail:	5.68726
Length   18/3, alignment  9/15, found:	25.7112
Length   18/3, alignment  9/15, fail:	5.95618
Length   18/3, alignment 15/ 0, found:	23.7527
Length   18/3, alignment 15/ 0, fail:	6.23486
Length   18/3, alignment 15/ 3, found:	23.5485
Length   18/3, alignment 15/ 3, fail:	6.50391
Length   18/3, alignment 15/ 9, found:	23.5486
Length   18/3, alignment 15/ 9, fail:	6.50146
Length   18/3, alignment 15/15, found:	25.7124
Length   18/3, alignment 15/15, fail:	6.78027
Length   21/3, alignment  0/ 0, found:	24.5669
Length   21/3, alignment  0/ 0, fail:	5.69092
Length   21/3, alignment  0/ 3, found:	24.0889
Length   21/3, alignment  0/ 3, fail:	5.6897
Length   21/3, alignment  0/ 9, found:	24.0889
Length   21/3, alignment  0/ 9, fail:	5.68848
Length   21/3, alignment  0/15, found:	24.3566
Length   21/3, alignment  0/15, fail:	6.23364
Length   21/3, alignment  3/ 0, found:	24.3663
Length   21/3, alignment  3/ 0, fail:	5.41577
Length   21/3, alignment  3/ 3, found:	23.5472
Length   21/3, alignment  3/ 3, fail:	5.6897
Length   21/3, alignment  3/ 9, found:	23.5474
Length   21/3, alignment  3/ 9, fail:	5.68848
Length   21/3, alignment  3/15, found:	23.5448
Length   21/3, alignment  3/15, fail:	5.9635
Length   21/3, alignment  9/ 0, found:	23.738
Length   21/3, alignment  9/ 0, fail:	5.41577
Length   21/3, alignment  9/ 3, found:	23.5461
Length   21/3, alignment  9/ 3, fail:	5.68726
Length   21/3, alignment  9/ 9, found:	23.551
Length   21/3, alignment  9/ 9, fail:	5.68604
Length   21/3, alignment  9/15, found:	24.359
Length   21/3, alignment  9/15, fail:	5.95874
Length   21/3, alignment 15/ 0, found:	23.7686
Length   21/3, alignment 15/ 0, fail:	6.23254
Length   21/3, alignment 15/ 3, found:	23.551
Length   21/3, alignment 15/ 3, fail:	6.50269
Length   21/3, alignment 15/ 9, found:	23.5485
Length   21/3, alignment 15/ 9, fail:	6.50024
Length   21/3, alignment 15/15, found:	25.71
Length   21/3, alignment 15/15, fail:	6.77527
Length   16/4, alignment  0/ 0, found:	25.4324
Length   16/4, alignment  0/ 0, fail:	5.68604
Length   16/4, alignment  0/ 3, found:	24.0889
Length   16/4, alignment  0/ 3, fail:	5.68726
Length   16/4, alignment  0/ 9, found:	24.0889
Length   16/4, alignment  0/ 9, fail:	5.68726
Length   16/4, alignment  0/15, found:	24.4373
Length   16/4, alignment  0/15, fail:	6.2301
Length   16/4, alignment  3/ 0, found:	24.271
Length   16/4, alignment  3/ 0, fail:	5.41711
Length   16/4, alignment  3/ 3, found:	23.683
Length   16/4, alignment  3/ 3, fail:	5.68604
Length   16/4, alignment  3/ 9, found:	23.683
Length   16/4, alignment  3/ 9, fail:	5.68848
Length   16/4, alignment  3/15, found:	23.5485
Length   16/4, alignment  3/15, fail:	6.05408
Length   16/4, alignment  9/ 0, found:	23.705
Length   16/4, alignment  9/ 0, fail:	5.41833
Length   16/4, alignment  9/ 3, found:	23.562
Length   16/4, alignment  9/ 3, fail:	5.6958
Length   16/4, alignment  9/ 9, found:	23.5461
Length   16/4, alignment  9/ 9, fail:	5.69092
Length   16/4, alignment  9/15, found:	25.7124
Length   16/4, alignment  9/15, fail:	5.95984
Length   16/4, alignment 15/ 0, found:	23.782
Length   16/4, alignment 15/ 0, fail:	5.41711
Length   16/4, alignment 15/ 3, found:	23.5485
Length   16/4, alignment 15/ 3, fail:	5.68481
Length   16/4, alignment 15/ 9, found:	23.5472
Length   16/4, alignment 15/ 9, fail:	5.69946
Length   16/4, alignment 15/15, found:	25.7124
